subject,unique_lineup_id,order,a,b,n,x_dist,shape,e_sigma,limit_num
1,heter_389,16,1,64,300,uniform,"NA",1,6
2,heter_494,16,-1,0.25,100,uniform,"NA",1,6
3,poly_52,20,"NA","NA",100,uniform,4,0.5,6
4,heter_206,12,0,16,100,uniform,"NA",1,6
5,poly_474,5,"NA","NA",50,uniform,1,1,6
6,heter_155,8,-1,64,100,uniform,"NA",1,6
7,heter_526,14,0,0,300,lognormal,"NA",1,15
8,poly_269,7,"NA","NA",50,uniform,4,1,6
9,poly_191,14,"NA","NA",100,uniform,3,1,6
10,poly_24,14,"NA","NA",300,uniform,3,1,6
11,poly_342,2,"NA","NA",100,uniform,4,2,6
12,poly_392,8,"NA","NA",300,uniform,4,2,6
13,poly_98,12,"NA","NA",50,uniform,4,4,6
14,heter_484,1,1,16,50,uniform,"NA",1,6
15,heter_4,16,-1,4,50,uniform,"NA",1,6
16,poly_28,12,"NA","NA",100,uniform,4,2,6
17,poly_535,5,"NA","NA",50,uniform,3,1,6
18,poly_491,8,"NA","NA",50,uniform,2,1,6
19,heter_229,3,-1,64,50,uniform,"NA",1,6
20,heter_479,8,0,0,100,normal,"NA",1,15
21,heter_128,7,0,0,300,uniform,"NA",1,15
22,heter_179,4,-1,0.25,300,uniform,"NA",1,6
23,poly_14,8,"NA","NA",300,uniform,2,2,6
24,heter_45,3,-1,16,300,uniform,"NA",1,6
25,heter_126,10,0,0.25,100,uniform,"NA",1,6
26,heter_299,18,-1,64,100,uniform,"NA",1,6
27,heter_418,2,-1,1,100,uniform,"NA",1,6
28,poly_216,4,"NA","NA",300,uniform,3,1,6
29,heter_48,14,-1,0.25,100,uniform,"NA",1,6
30,heter_368,6,0,0.25,300,uniform,"NA",1,6
31,heter_23,12,1,1,100,uniform,"NA",1,6
32,heter_106,17,0,0,50,lognormal,"NA",1,15
33,poly_413,10,"NA","NA",100,uniform,4,1,6
34,poly_154,2,"NA","NA",300,uniform,4,4,6
35,heter_447,17,-1,1,50,uniform,"NA",1,6
36,heter_218,1,0,64,100,uniform,"NA",1,6
37,poly_450,5,"NA","NA",50,uniform,3,4,6
38,poly_85,9,"NA","NA",300,uniform,1,2,6
39,poly_142,3,"NA","NA",100,uniform,4,1,6
40,poly_88,13,"NA","NA",100,uniform,3,2,6
41,poly_113,10,"NA","NA",50,uniform,3,2,6
42,heter_257,6,1,16,50,uniform,"NA",1,6
43,heter_150,20,1,0.25,300,uniform,"NA",1,6
44,poly_256,5,"NA","NA",100,uniform,2,1,6
45,heter_430,12,0,64,100,uniform,"NA",1,6
46,poly_83,20,"NA","NA",100,uniform,3,0.5,6
47,poly_329,17,"NA","NA",300,uniform,1,1,6
48,poly_15,17,"NA","NA",300,uniform,2,2,6
49,heter_505,1,1,4,50,uniform,"NA",1,6
50,poly_469,19,"NA","NA",50,uniform,2,1,6
51,poly_432,7,"NA","NA",300,uniform,2,4,6
52,heter_127,8,-1,0.25,300,uniform,"NA",1,6
53,poly_73,7,"NA","NA",50,uniform,4,2,6
54,poly_463,3,"NA","NA",100,uniform,4,1,6
55,heter_105,18,1,0.25,100,uniform,"NA",1,6
56,poly_131,17,"NA","NA",300,uniform,3,2,6
57,poly_562,19,"NA","NA",100,uniform,1,1,6
58,heter_264,6,0,0,100,lognormal,"NA",1,15
59,heter_152,20,0,0,100,even_discrete,"NA",1,15
60,heter_375,19,-1,1,300,uniform,"NA",1,6
61,poly_322,15,"NA","NA",50,uniform,3,0.5,6
62,heter_386,7,0,0,100,uniform,"NA",1,15
63,heter_251,1,1,0.25,50,uniform,"NA",1,6
64,heter_124,3,1,0.25,300,uniform,"NA",1,6
65,poly_200,4,"NA","NA",50,uniform,1,0.5,6
66,poly_379,20,"NA","NA",300,uniform,1,0.5,6
67,heter_107,9,0,0,300,normal,"NA",1,15
68,poly_357,11,"NA","NA",100,uniform,3,4,6
69,heter_237,11,0,0,100,lognormal,"NA",1,15
70,poly_570,12,"NA","NA",300,uniform,3,1,6
71,poly_465,4,"NA","NA",100,uniform,2,4,6
72,heter_530,15,-1,1,100,uniform,"NA",1,6
73,poly_132,6,"NA","NA",100,uniform,4,4,6
74,heter_60,4,1,16,100,uniform,"NA",1,6
75,heter_564,18,1,64,50,uniform,"NA",1,6
76,heter_110,15,1,4,50,uniform,"NA",1,6
77,heter_378,12,-1,16,300,uniform,"NA",1,6
78,poly_251,17,"NA","NA",50,uniform,4,0.5,6
79,poly_108,2,"NA","NA",50,uniform,2,4,6
80,poly_544,3,"NA","NA",100,uniform,2,0.5,6
81,poly_278,1,"NA","NA",100,uniform,3,1,6
82,poly_301,2,"NA","NA",100,uniform,3,4,6
83,heter_470,1,1,1,100,uniform,"NA",1,6
84,heter_246,9,1,4,300,uniform,"NA",1,6
85,heter_200,1,0,0,50,uniform,"NA",1,15
86,poly_196,18,"NA","NA",300,uniform,4,0.5,6
87,heter_170,18,0,0,300,normal,"NA",1,15
88,heter_343,19,-1,16,50,uniform,"NA",1,6
89,poly_441,8,"NA","NA",50,uniform,3,2,6
90,heter_370,20,0,0,50,uniform,"NA",1,15
91,poly_343,18,"NA","NA",300,uniform,3,0.5,6
92,poly_120,10,"NA","NA",300,uniform,1,0.5,6
93,heter_455,7,0,0,50,normal,"NA",1,15
94,heter_247,14,0,0,50,even_discrete,"NA",1,15
95,poly_506,8,"NA","NA",100,uniform,3,0.5,6
96,poly_231,16,"NA","NA",300,uniform,1,4,6
97,heter_67,20,1,1,100,uniform,"NA",1,6
98,poly_199,11,"NA","NA",50,uniform,2,0.5,6
99,heter_402,1,0,1,300,uniform,"NA",1,6
100,heter_333,10,0,16,100,uniform,"NA",1,6
101,heter_573,12,0,1,50,uniform,"NA",1,6
102,poly_78,20,"NA","NA",100,uniform,3,2,6
103,heter_452,12,0,4,300,uniform,"NA",1,6
104,heter_553,20,0,16,300,uniform,"NA",1,6
105,heter_381,8,-1,4,100,uniform,"NA",1,6
106,poly_300,15,"NA","NA",300,uniform,1,1,6
107,heter_425,19,-1,16,100,uniform,"NA",1,6
108,poly_210,3,"NA","NA",100,uniform,1,2,6
109,poly_499,18,"NA","NA",300,uniform,2,4,6
110,poly_395,19,"NA","NA",100,uniform,2,1,6
111,poly_198,14,"NA","NA",50,uniform,4,4,6
112,heter_433,12,1,16,300,uniform,"NA",1,6
113,heter_288,13,-1,16,100,uniform,"NA",1,6
114,poly_447,13,"NA","NA",100,uniform,1,0.5,6
115,heter_119,11,0,0,50,even_discrete,"NA",1,15
116,poly_39,8,"NA","NA",100,uniform,3,2,6
117,poly_309,17,"NA","NA",300,uniform,3,4,6
118,poly_513,5,"NA","NA",300,uniform,3,4,6
119,poly_495,13,"NA","NA",50,uniform,2,2,6
120,poly_247,12,"NA","NA",50,uniform,1,4,6
121,poly_318,12,"NA","NA",50,uniform,3,1,6
