real_lineup_id,a,b,n,x_dist,shape,e_sigma,limit_num
heter_101,1,16,300,uniform,"NA",1,6
heter_105,1,0.25,100,uniform,"NA",1,6
heter_106,0,0,50,lognormal,"NA",1,15
heter_107,0,0,300,normal,"NA",1,15
heter_11,0,0,100,normal,"NA",1,15
heter_110,1,4,50,uniform,"NA",1,6
heter_114,0,0,100,even_discrete,"NA",1,15
heter_116,1,4,100,uniform,"NA",1,6
heter_119,0,0,50,even_discrete,"NA",1,15
heter_120,0,4,50,uniform,"NA",1,6
heter_121,0,64,50,uniform,"NA",1,6
heter_123,0,0,100,lognormal,"NA",1,15
heter_124,1,0.25,300,uniform,"NA",1,6
heter_126,0,0.25,100,uniform,"NA",1,6
heter_127,-1,0.25,300,uniform,"NA",1,6
heter_128,0,0,300,uniform,"NA",1,15
heter_129,-1,4,300,uniform,"NA",1,6
heter_137,1,4,100,uniform,"NA",1,6
heter_147,0,0,300,uniform,"NA",1,15
heter_150,1,0.25,300,uniform,"NA",1,6
heter_152,0,0,100,even_discrete,"NA",1,15
heter_155,-1,64,100,uniform,"NA",1,6
heter_169,-1,64,50,uniform,"NA",1,6
heter_170,0,0,300,normal,"NA",1,15
heter_172,0,0,100,uniform,"NA",1,15
heter_178,1,4,300,uniform,"NA",1,6
heter_179,-1,0.25,300,uniform,"NA",1,6
heter_180,-1,1,100,uniform,"NA",1,6
heter_183,0,0,50,lognormal,"NA",1,15
heter_189,0,0.25,300,uniform,"NA",1,6
heter_194,0,0.25,300,uniform,"NA",1,6
heter_196,0,16,50,uniform,"NA",1,6
heter_199,-1,0.25,50,uniform,"NA",1,6
heter_200,0,0,50,uniform,"NA",1,15
heter_206,0,16,100,uniform,"NA",1,6
heter_209,0,0,300,normal,"NA",1,15
heter_211,0,0,50,uniform,"NA",1,15
heter_218,0,64,100,uniform,"NA",1,6
heter_226,-1,4,100,uniform,"NA",1,6
heter_229,-1,64,50,uniform,"NA",1,6
heter_23,1,1,100,uniform,"NA",1,6
heter_232,1,0.25,50,uniform,"NA",1,6
heter_237,0,0,100,lognormal,"NA",1,15
heter_239,0,0.25,100,uniform,"NA",1,6
heter_240,0,64,50,uniform,"NA",1,6
heter_246,1,4,300,uniform,"NA",1,6
heter_247,0,0,50,even_discrete,"NA",1,15
heter_249,0,0,300,lognormal,"NA",1,15
heter_251,1,0.25,50,uniform,"NA",1,6
