subject,lineup_id,order
1,303,6
2,427,8
3,443,14
4,488,7
5,520,14
6,548,14
7,501,2
8,382,8
9,403,12
10,288,1
11,335,16
12,373,12
13,306,5
14,181,8
15,447,3
16,464,8
17,149,7
18,499,4
19,569,8
20,482,3
21,186,10
22,472,18
23,135,2
24,351,4
25,16,14
26,111,6
27,148,12
28,39,17
29,565,10
30,551,2
31,285,17
32,91,1
33,386,5
34,405,9
35,313,3
36,223,13
37,368,10
38,301,6
39,540,20
40,106,5
41,330,12
42,346,20
43,279,17
44,365,17
45,191,1
46,17,19
47,62,7
48,493,8
49,395,7
50,289,3
51,281,18
52,538,17
53,401,19
54,244,6
55,48,20
56,98,19
57,265,15
58,342,7
59,1,1
60,183,3
61,546,4
62,302,20
63,11,9
64,128,11
65,23,11
66,78,12
67,571,4
68,485,15
69,452,6
70,406,4
71,55,18
72,398,15
73,67,12
74,291,17
75,196,2
76,256,3
77,15,1
78,234,2
79,133,1
80,63,9
81,554,1
82,318,18
83,574,18
84,383,19
85,426,8
86,231,20
87,77,18
88,515,10
89,210,7
90,177,14
91,147,8
92,364,16
93,430,20
94,531,11
95,32,1
96,202,10
97,449,12
98,88,20
99,465,12
100,241,20
101,141,8
102,385,15
103,337,19
104,388,3
105,327,18
106,194,19
107,110,14
108,35,12
109,474,13
110,42,13
111,94,11
112,27,8
113,487,17
114,453,5
115,505,13
116,60,12
117,349,12
118,145,3
119,366,19
120,536,17
121,104,14
122,476,5
123,59,9
124,418,7
125,284,7
126,192,13
127,374,15
128,195,9
129,460,16
130,298,17
131,253,13
132,367,4
133,277,18
134,310,6
135,214,14
136,139,17
137,10,3
138,151,3
139,432,19
140,334,11
141,242,11
142,526,19
143,466,13
144,462,1
145,43,17
146,428,16
147,44,16
148,96,19
149,204,16
150,524,19
151,200,3
152,336,2
153,173,18
154,525,19
155,233,1
156,380,6
157,21,5
158,437,1
159,85,11
160,226,18
1,300,15
2,122,15
3,373,5
4,245,3
5,420,20
6,37,7
7,48,18
8,499,9
9,427,16
10,79,12
11,96,12
12,555,9
13,189,16
14,162,9
15,173,18
16,244,7
17,403,12
18,384,20
19,209,19
20,158,12
21,347,20
22,539,6
23,523,10
24,379,9
25,351,18
26,128,5
27,393,15
28,133,16
29,71,3
30,491,16
31,181,6
32,105,8
33,132,4
34,164,8
35,544,16
36,417,14
37,367,14
38,82,12
39,570,7
40,99,19
41,448,20
42,383,16
43,100,4
44,314,16
45,576,14
46,570,14
47,109,16
48,22,20
49,414,11
50,292,6
51,299,4
52,60,13
53,453,9
54,327,16
55,271,7
56,496,9
57,335,3
58,317,3
59,60,10
60,531,5
61,127,1
62,253,11
63,101,5
64,260,14
65,170,20
66,65,20
67,88,14
68,451,17
69,382,18
70,557,1
71,211,1
72,228,6
73,324,1
74,276,7
75,96,11
76,538,18
77,398,17
78,570,20
79,564,9
80,354,11
81,457,4
82,400,7
83,552,15
84,467,13
85,46,11
86,9,15
87,121,2
88,320,8
89,46,20
90,90,18
91,320,1
92,323,4
93,108,13
94,573,10
95,413,14
96,533,3
97,432,14
98,414,9
99,415,3
100,542,7
101,434,4
102,517,3
103,485,8
104,179,4
105,361,12
106,309,3
107,362,10
108,152,19
109,179,20
110,434,18
111,141,1
112,337,4
113,559,12
114,454,20
115,65,6
116,321,16
117,412,16
118,111,11
119,475,6
120,461,9
121,74,4
122,322,8
123,24,3
124,262,11
125,472,18
126,119,10
127,386,9
128,102,13
129,39,15
130,40,11
131,13,5
132,575,8
133,78,14
134,372,18
135,337,2
136,193,18
137,530,8
138,252,15
139,20,12
140,268,15
141,374,9
142,217,15
143,127,3
144,1,6
145,35,16
146,403,15
147,41,4
148,364,6
149,217,5
150,187,10
151,493,12
152,164,17
153,323,16
154,190,6
155,34,8
156,154,10
157,441,3
158,86,4
159,557,7
160,315,6
1,457,10
2,118,20
3,201,11
4,72,4
5,33,8
6,538,15
7,249,8
8,249,16
9,40,19
10,307,3
11,333,4
12,238,3
13,432,12
14,41,5
15,359,9
16,536,17
17,232,20
18,451,18
19,512,5
20,209,6
21,526,4
22,114,19
23,294,12
24,80,7
25,326,5
26,161,2
27,119,18
28,289,5
29,287,7
30,70,7
31,554,16
32,556,18
33,174,18
34,494,16
35,391,9
36,199,20
37,507,19
38,218,15
39,407,19
40,58,17
41,563,15
42,446,6
43,51,13
44,308,18
45,454,4
46,560,3
47,395,3
48,463,14
49,109,1
50,466,5
51,300,5
52,29,7
53,89,10
54,564,3
55,85,5
56,289,12
57,44,5
58,153,13
59,443,9
60,376,12
61,280,5
62,241,1
63,166,3
64,473,19
65,28,7
66,408,15
67,50,7
68,486,16
69,357,9
70,413,13
71,26,19
72,447,20
73,1,17
74,519,18
75,274,20
76,438,1
77,508,9
78,239,17
79,103,5
80,514,15
81,546,16
82,349,5
83,492,20
84,84,9
85,474,2
86,125,8
87,280,20
88,452,4
89,311,18
90,5,8
91,515,4
92,174,10
93,21,6
94,87,9
95,272,6
96,190,1
97,306,4
98,479,17
99,313,10
100,544,4
101,27,15
102,445,9
103,385,4
104,57,2
105,410,16
106,235,14
107,82,12
108,339,4
109,493,15
110,303,10
111,203,2
112,118,2
113,167,7
114,21,4
115,1,18
116,170,2
117,54,14
118,166,9
119,309,2
120,59,5
121,355,13
122,349,6
123,540,2
124,97,5
125,345,5
126,129,11
127,158,10
128,435,12
129,327,20
130,449,1
131,527,9
132,377,7
133,129,8
134,113,1
135,258,6
136,186,1
137,528,18
138,78,7
139,155,14
140,557,20
141,345,14
142,458,1
143,409,7
144,332,7
145,521,11
146,250,12
147,227,18
148,4,9
149,255,9
150,186,11
151,517,6
152,497,19
153,19,15
154,425,18
155,445,5
156,178,18
157,442,14
158,475,11
159,274,13
160,359,11
1,307,2
2,553,2
3,48,4
4,428,17
5,238,4
6,203,19
7,576,20
8,229,11
9,120,11
10,82,15
11,205,15
12,527,10
13,539,6
14,233,18
15,401,1
16,275,16
17,132,14
18,540,12
19,507,18
20,333,7
21,260,12
22,110,1
23,247,15
24,398,10
25,312,17
26,411,3
27,180,6
28,288,7
29,569,5
30,99,19
31,359,12
32,49,20
33,395,8
34,416,20
35,162,5
36,44,19
37,332,5
38,342,4
39,473,12
40,64,18
41,488,6
42,552,11
43,443,10
44,237,6
45,513,19
46,573,11
47,7,14
48,251,3
49,145,13
50,4,19
51,204,12
52,139,12
53,41,2
54,415,15
55,153,16
56,41,11
57,480,1
58,225,19
59,358,14
60,5,8
61,39,10
62,120,17
63,140,20
64,173,17
65,122,2
66,438,8
67,150,5
68,68,9
69,134,11
70,555,5
71,44,11
72,276,5
73,532,5
74,368,20
75,203,12
76,172,9
77,465,18
78,30,9
79,526,8
80,170,1
81,473,11
82,237,17
83,195,19
84,134,17
85,179,19
86,553,17
87,182,10
88,292,16
89,209,2
90,36,7
91,27,5
92,295,14
93,392,7
94,478,14
95,357,16
96,172,9
97,95,19
98,8,16
99,257,15
100,258,2
101,157,20
102,511,6
103,34,13
104,319,13
105,84,14
106,521,12
107,352,2
108,542,18
109,349,2
110,526,14
111,76,12
112,553,9
113,573,15
114,376,18
115,262,17
116,133,7
117,65,7
118,360,15
119,375,7
120,347,12
121,136,8
122,11,18
123,87,14
124,556,8
125,274,6
126,24,3
127,113,19
128,494,15
129,179,8
130,242,9
131,146,16
132,473,14
133,535,16
134,447,4
135,62,4
136,60,3
137,514,10
138,261,1
139,441,13
140,439,8
141,310,3
142,101,8
143,46,18
144,200,11
145,402,14
146,447,20
147,168,14
148,122,3
149,262,14
150,455,20
151,228,18
152,340,1
153,312,4
154,404,10
155,477,10
156,166,14
157,75,18
158,354,19
159,293,15
160,192,20
1,84,14
2,84,18
3,205,20
4,121,9
5,202,6
6,396,13
7,417,11
8,136,3
9,552,9
10,573,9
11,198,13
12,51,7
13,152,3
14,260,13
15,441,14
16,284,19
17,371,15
18,96,2
19,519,2
20,163,17
21,375,8
22,305,14
23,438,13
24,9,5
25,269,7
26,27,9
27,44,2
28,258,3
29,2,4
30,231,14
31,316,1
32,264,12
33,320,16
34,342,19
35,570,14
36,106,16
37,159,12
38,156,20
39,74,18
40,232,9
41,426,11
42,490,1
43,254,20
44,388,10
45,352,17
46,226,10
47,472,5
48,403,11
49,461,6
50,407,2
51,241,16
52,102,16
53,493,4
54,173,20
55,416,18
56,96,15
57,360,20
58,355,1
59,319,7
60,126,4
61,333,15
62,307,3
63,511,16
64,554,4
65,174,13
66,426,11
67,379,16
68,526,2
69,136,8
70,31,6
71,534,3
72,332,7
73,147,11
74,348,11
75,170,18
76,339,12
77,274,13
78,438,8
79,468,12
80,418,16
81,69,9
82,7,11
83,264,6
84,154,7
85,448,13
86,229,2
87,186,7
88,513,12
89,572,10
90,128,6
91,341,6
92,438,6
93,69,11
94,485,4
95,392,2
96,560,20
97,552,2
98,130,11
99,336,6
100,551,5
101,107,1
102,268,8
103,248,17
104,302,15
105,147,7
106,506,20
107,230,18
108,47,20
109,539,1
110,356,6
111,251,10
112,48,7
113,171,18
114,564,3
115,353,15
116,190,4
117,332,3
118,440,19
119,232,16
120,401,3
121,92,3
122,420,20
123,106,7
124,272,3
125,119,10
126,487,17
127,250,14
128,317,8
129,196,1
130,474,3
131,302,7
132,476,15
133,540,5
134,7,3
135,360,7
136,515,16
137,542,20
138,477,4
139,31,5
140,145,7
141,428,19
142,482,11
143,230,11
144,280,4
145,570,9
146,116,7
147,455,9
148,457,1
149,143,7
150,554,1
151,472,19
152,115,5
153,183,2
154,128,7
155,186,18
156,516,9
157,549,20
158,191,18
159,31,9
160,253,9
1,478,17
2,483,10
3,366,16
4,571,14
5,249,10
6,571,8
7,331,5
8,143,7
9,571,4
10,11,20
11,183,7
12,69,8
13,510,1
14,183,17
15,473,11
16,264,20
17,549,17
18,152,1
19,434,11
20,179,18
21,70,16
22,298,5
23,35,19
24,571,15
25,359,20
26,346,1
27,164,4
28,211,19
29,211,17
30,209,1
31,401,19
32,97,15
33,564,6
34,370,15
35,107,13
36,554,12
37,123,8
38,390,3
39,11,3
40,158,16
41,295,13
42,247,19
43,172,19
44,142,14
45,187,6
46,479,7
47,265,19
48,106,6
49,172,4
50,326,16
51,128,9
52,549,20
53,172,6
54,483,7
55,107,2
56,455,6
57,451,16
58,152,5
59,152,11
60,440,18
61,69,16
62,478,2
63,221,11
64,441,18
65,385,3
66,200,16
67,250,3
68,343,5
69,390,10
70,107,10
71,504,15
72,553,10
73,569,16
74,114,14
75,166,3
76,138,15
77,249,6
78,170,6
79,309,3
80,422,10
81,198,15
82,130,8
83,317,16
84,549,20
85,68,9
86,11,11
87,366,16
88,183,14
89,515,3
90,168,5
91,181,12
92,117,12
93,187,15
94,97,18
95,366,17
96,404,14
97,483,20
98,308,13
99,107,17
100,209,10
101,62,16
102,455,11
103,200,7
104,390,12
105,515,6
106,483,8
107,61,13
108,163,16
109,397,9
110,231,17
111,390,19
112,119,20
113,264,5
114,114,8
115,321,14
116,122,11
117,69,11
118,386,4
119,424,18
120,455,16
121,262,9
122,315,16
123,312,11
124,92,4
125,208,3
126,126,18
127,143,8
128,390,6
129,123,6
130,308,14
131,474,19
132,237,5
133,249,17
134,147,20
135,247,18
136,147,15
137,549,13
138,247,2
139,478,2
140,560,6
141,474,20
142,364,17
143,370,9
144,476,20
145,366,20
146,106,14
147,283,10
148,483,10
149,382,15
150,401,12
151,488,20
152,247,7
153,314,7
154,75,9
155,212,6
156,265,15
157,285,7
158,264,8
159,359,16
160,500,1
1,156,5
2,351,11
3,500,9
4,238,5
5,217,17
6,4,6
7,352,3
8,35,4
9,469,20
10,279,13
11,320,10
12,12,2
13,287,19
14,215,10
15,383,13
16,158,3
17,541,18
18,86,8
19,263,3
20,315,20
21,537,6
22,104,3
23,142,3
24,198,17
25,411,16
26,504,7
27,182,1
28,490,8
29,536,1
30,39,9
31,555,15
32,21,10
33,373,12
34,492,3
35,57,18
36,333,17
37,475,7
38,241,10
39,98,17
40,320,12
41,15,4
42,330,13
43,500,2
44,94,2
45,81,10
46,358,18
47,328,1
48,523,4
49,28,2
50,370,13
51,309,17
52,78,3
53,233,7
54,37,9
55,24,3
56,368,10
57,372,10
58,442,8
59,452,15
60,198,2
61,380,9
62,467,6
63,261,8
64,343,1
65,30,5
66,413,2
67,566,9
68,289,13
69,287,16
70,481,16
71,73,4
72,267,14
73,277,6
74,98,19
75,129,6
76,400,16
77,470,14
78,360,11
79,318,11
80,91,8
81,514,13
82,212,3
83,539,8
84,399,16
85,230,15
86,459,4
87,278,11
88,174,19
89,414,12
90,443,16
91,116,7
92,369,3
93,45,2
94,142,20
95,351,5
96,229,18
97,393,6
98,253,6
99,413,7
100,348,13
101,3,18
102,109,12
103,481,5
104,23,6
105,514,11
106,46,2
107,114,9
108,499,11
109,131,16
110,187,1
111,344,6
112,332,17
113,293,20
114,417,1
115,358,11
116,255,14
117,538,8
118,49,2
119,507,1
120,323,14
121,512,7
122,399,1
123,499,20
124,369,1
125,257,13
126,308,9
127,176,3
128,397,11
129,558,13
130,56,16
131,429,17
132,285,18
133,298,4
134,146,16
135,49,9
136,453,11
137,505,1
138,411,9
139,111,17
140,461,9
141,109,15
142,240,3
143,18,17
144,242,14
145,540,1
146,368,1
147,55,1
148,289,4
149,387,17
150,83,5
151,155,13
152,261,16
153,42,6
154,398,11
155,370,4
156,423,8
157,403,12
158,244,20
159,548,5
160,387,10
1,464,3
2,23,16
3,422,3
4,215,18
5,36,15
6,326,18
7,245,4
8,396,20
9,92,1
10,400,19
11,55,18
12,214,6
13,392,7
14,470,11
15,110,4
16,45,11
17,418,9
18,129,3
19,348,20
20,33,14
21,139,7
22,391,13
23,188,7
24,67,14
25,4,4
26,180,14
27,95,8
28,287,14
29,139,20
30,347,11
31,508,3
32,19,3
33,522,11
34,178,12
35,494,10
36,191,10
37,226,15
38,178,5
39,92,5
40,336,2
41,393,18
42,58,3
43,191,6
44,31,11
45,240,7
46,290,20
47,458,4
48,316,13
49,251,8
50,372,9
51,393,20
52,349,10
53,45,15
54,309,8
55,134,4
56,49,2
57,450,13
58,532,2
59,499,2
60,248,19
61,513,20
62,18,5
63,240,6
64,258,16
65,50,19
66,22,14
67,353,18
68,294,14
69,199,1
70,313,11
71,442,6
72,87,1
73,432,20
74,234,8
75,462,7
76,283,6
77,363,10
78,341,5
79,92,10
80,486,14
81,102,3
82,531,13
83,301,11
84,78,2
85,257,18
86,228,14
87,124,14
88,344,15
89,319,5
90,406,4
91,339,2
92,317,11
93,50,3
94,155,13
95,26,10
96,64,8
97,343,11
98,426,1
99,177,16
100,49,15
101,274,12
102,226,5
103,143,9
104,268,10
105,140,3
106,93,13
107,155,19
108,298,8
109,424,6
110,337,20
111,89,15
112,468,18
113,389,10
114,448,17
115,125,4
116,461,13
117,192,1
118,439,14
119,38,13
120,462,20
121,158,2
122,45,14
123,308,19
124,56,17
125,157,16
126,208,20
127,59,7
128,192,2
129,563,9
130,482,4
131,290,15
132,395,12
133,258,20
134,281,17
135,417,12
136,431,6
137,469,2
138,178,10
139,124,8
140,212,10
141,176,12
142,472,6
143,23,8
144,288,9
145,88,10
146,2,10
147,89,2
148,79,15
149,495,3
150,435,16
151,268,10
152,475,4
153,542,9
154,28,13
155,35,2
156,83,16
157,261,1
158,561,9
159,330,14
160,409,15
1,219,12
2,219,17
3,573,1
4,193,13
5,418,13
6,314,1
7,222,17
8,30,12
9,267,8
10,242,14
11,447,1
12,98,15
13,492,14
14,305,14
15,216,19
16,535,14
17,102,4
18,348,7
19,234,4
20,533,11
21,444,19
22,263,2
23,38,11
24,236,6
25,187,13
26,256,13
27,195,7
28,491,2
29,471,19
30,572,4
31,470,2
32,32,7
33,328,1
34,428,1
35,337,19
36,215,6
37,519,18
38,125,19
39,350,6
40,193,11
41,101,16
42,374,14
43,233,18
44,137,3
45,406,16
46,130,5
47,284,8
48,13,1
49,122,10
50,97,14
51,512,8
52,216,8
53,318,16
54,269,1
55,178,6
56,55,8
57,414,11
58,232,18
59,330,3
60,451,6
61,558,2
62,523,18
63,180,14
64,383,9
65,365,12
66,547,19
67,253,11
68,416,10
69,219,19
70,311,17
71,161,9
72,295,17
73,343,7
74,226,3
75,363,17
76,325,4
77,510,16
78,259,1
79,48,18
80,280,4
81,127,8
82,51,1
83,533,2
84,314,1
85,336,20
86,315,10
87,431,1
88,155,7
89,162,8
90,191,12
91,81,11
92,278,8
93,541,1
94,64,15
95,558,7
96,376,16
97,410,13
98,379,14
99,459,2
100,378,17
101,232,10
102,150,1
103,42,18
104,13,7
105,23,2
106,344,16
107,293,20
108,32,2
109,311,12
110,433,5
111,482,13
112,110,19
113,548,1
114,329,12
115,24,3
116,86,20
117,350,18
118,45,6
119,236,5
120,91,13
121,437,20
122,460,13
123,173,12
124,242,19
125,62,14
126,445,2
127,257,2
128,446,19
129,535,14
130,156,20
131,414,12
132,225,20
133,547,1
134,93,10
135,302,11
136,517,20
137,197,17
138,463,16
139,196,9
140,265,14
141,17,17
142,168,9
143,182,16
144,568,18
145,225,15
146,351,5
147,189,6
148,458,2
149,70,4
150,356,6
151,204,17
152,199,11
153,326,20
154,482,20
155,67,16
156,225,20
157,24,4
158,261,12
159,206,10
160,9,4
1,18,7
2,467,5
3,162,10
4,297,20
5,389,2
6,238,17
7,326,15
8,489,10
9,378,18
10,315,5
11,389,8
12,431,5
13,488,8
14,82,1
15,171,15
16,411,13
17,19,11
18,310,6
19,375,17
20,136,1
21,81,3
22,502,9
23,519,16
24,127,12
25,239,1
26,522,4
27,120,19
28,135,9
29,279,6
30,196,6
31,565,8
32,330,5
33,99,17
34,47,13
35,198,17
36,159,18
37,20,11
38,492,1
39,22,1
40,278,14
41,391,2
42,565,12
43,410,14
44,282,5
45,101,20
46,255,13
47,338,17
48,527,15
49,224,20
50,306,11
51,569,1
52,497,18
53,432,14
54,246,14
55,387,14
56,287,16
57,20,14
58,357,9
59,529,6
60,510,13
61,91,14
62,562,4
63,104,2
64,71,20
65,567,16
66,539,1
67,529,10
68,318,20
69,294,2
70,148,14
71,335,10
72,192,8
73,157,15
74,257,13
75,144,15
76,334,19
77,21,19
78,43,4
79,575,7
80,39,5
81,350,20
82,15,6
83,416,10
84,77,5
85,283,4
86,542,3
87,466,9
88,55,2
89,270,14
90,108,20
91,504,16
92,276,17
93,360,8
94,394,12
95,199,4
96,498,4
97,233,5
98,37,10
99,99,18
100,137,8
101,25,7
102,495,19
103,303,12
104,177,1
105,290,8
106,574,6
107,324,16
108,347,10
109,511,7
110,395,7
111,224,8
112,446,11
113,335,16
114,34,10
115,231,12
116,519,1
117,82,5
118,103,13
119,336,10
120,553,11
121,70,16
122,496,9
123,487,4
124,449,18
125,6,11
126,495,4
127,408,6
128,407,7
129,132,5
130,1,6
131,34,20
132,418,3
133,13,10
134,457,2
135,565,16
136,52,14
137,118,11
138,322,19
139,565,6
140,290,12
141,246,8
142,543,18
143,517,15
144,465,17
145,490,13
146,145,2
147,399,5
148,417,16
149,527,20
150,297,7
151,42,15
152,236,15
153,201,13
154,103,14
155,62,11
156,109,13
157,117,13
158,151,15
159,223,19
160,31,16
1,449,16
2,437,19
3,243,15
4,293,15
5,409,11
6,167,12
7,354,1
8,166,14
