subject,lineup_id,order,a,b,n,x_dist,rep
1,303,6,-1,1,300,even_discrete,1
2,427,8,-1,1,300,lognormal,3
3,443,14,0,64,50,lognormal,3
4,488,7,0,4,100,normal,2
5,520,14,0,4,100,uniform,1
6,548,14,1,16,50,even_discrete,2
7,501,2,1,16,50,normal,2
8,382,8,-1,16,100,normal,3
9,403,12,0,64,100,normal,3
10,288,1,-1,16,100,uniform,2
11,335,16,-1,64,50,normal,3
12,373,12,1,1,100,even_discrete,2
13,306,5,-1,1,100,lognormal,3
14,181,8,0,16,100,normal,1
15,447,3,-1,1,50,uniform,1
16,464,8,-1,64,100,normal,1
17,149,7,-1,16,300,lognormal,3
18,499,4,1,4,50,even_discrete,2
19,569,8,-1,4,100,lognormal,1
20,482,3,1,64,100,lognormal,2
21,186,10,-1,0.25,50,even_discrete,1
22,472,18,-1,0.25,50,lognormal,2
23,135,2,0,1,100,normal,3
24,351,4,-1,16,100,even_discrete,1
25,16,14,0,64,50,lognormal,2
26,111,6,1,16,100,normal,1
27,148,12,1,4,100,lognormal,3
28,39,17,1,1,50,lognormal,2
29,565,10,-1,0.25,50,normal,3
30,551,2,0,64,100,lognormal,3
31,285,17,1,4,50,uniform,3
32,91,1,-1,4,300,lognormal,1
33,386,5,0,0,100,uniform,1
34,405,9,0,1,300,lognormal,1
35,313,3,1,64,100,normal,3
36,223,13,0,64,300,normal,3
37,368,10,0,0.25,300,uniform,1
38,301,6,1,1,50,even_discrete,1
39,540,20,1,64,100,uniform,2
40,106,5,0,0,50,lognormal,1
41,330,12,-1,1,50,uniform,3
42,346,20,1,64,50,lognormal,1
43,279,17,1,0.25,100,even_discrete,1
44,365,17,0,16,50,uniform,2
45,191,1,1,1,50,normal,2
46,17,19,0,0.25,300,lognormal,2
47,62,7,-1,4,300,uniform,2
48,493,8,1,1,100,lognormal,2
49,395,7,0,1,50,normal,3
50,289,3,-1,64,300,normal,3
51,281,18,1,1,300,lognormal,1
52,538,17,-1,64,300,lognormal,1
53,401,19,1,64,300,normal,3
54,244,6,0,1,300,even_discrete,3
55,48,20,-1,0.25,100,uniform,2
56,98,19,1,0.25,50,even_discrete,2
57,265,15,0,0,100,uniform,2
58,342,7,-1,4,50,lognormal,2
59,1,1,-1,0.25,300,even_discrete,3
60,183,3,0,0,50,lognormal,2
61,546,4,0,64,50,normal,1
62,302,20,0,1,300,lognormal,2
63,11,9,0,0,100,normal,2
64,128,11,0,0,300,uniform,3
65,23,11,1,1,100,uniform,1
66,78,12,1,1,50,lognormal,1
67,571,4,0,0,300,even_discrete,3
68,485,15,1,4,300,uniform,3
69,452,6,0,4,300,uniform,2
70,406,4,0,1,100,even_discrete,3
71,55,18,1,4,100,normal,3
72,398,15,0,0.25,100,normal,2
73,67,12,1,1,100,uniform,3
74,291,17,1,1,100,normal,2
75,196,2,0,16,50,uniform,1
76,256,3,0,1,50,normal,2
77,15,1,1,4,50,lognormal,2
78,234,2,1,64,300,lognormal,2
79,133,1,0,4,100,even_discrete,3
80,63,9,1,64,300,uniform,1
81,554,1,-1,1,300,lognormal,2
82,318,18,0,0.25,50,normal,3
83,574,18,0,4,50,normal,1
84,383,19,0,1,100,normal,2
85,426,8,-1,16,100,lognormal,3
86,231,20,0,4,50,even_discrete,2
87,77,18,-1,16,300,normal,3
88,515,10,1,64,50,normal,1
89,210,7,-1,1,50,lognormal,2
90,177,14,1,4,300,even_discrete,1
91,147,8,0,0,300,uniform,2
92,364,16,0,0.25,100,normal,3
93,430,20,0,64,100,uniform,2
94,531,11,1,16,100,normal,2
95,32,1,0,64,300,uniform,2
96,202,10,0,16,50,even_discrete,3
97,449,12,0,64,300,uniform,1
98,88,20,1,1,50,lognormal,3
99,465,12,0,1,50,even_discrete,3
100,241,20,1,16,100,normal,3
101,141,8,-1,16,50,lognormal,2
102,385,15,0,0.25,100,even_discrete,3
103,337,19,-1,64,50,lognormal,2
104,388,3,1,64,50,lognormal,3
105,327,18,-1,4,100,normal,1
106,194,19,0,0.25,300,uniform,2
107,110,14,1,4,50,uniform,1
108,35,12,1,0.25,300,normal,3
109,474,13,0,0,50,normal,3
110,42,13,1,0.25,50,normal,2
111,94,11,0,64,300,even_discrete,2
112,27,8,1,1,300,even_discrete,1
113,487,17,-1,64,100,even_discrete,2
114,453,5,0,16,50,lognormal,1
115,505,13,1,4,50,uniform,2
116,60,12,1,16,100,uniform,2
117,349,12,-1,4,100,even_discrete,1
118,145,3,0,4,300,even_discrete,2
119,366,19,0,0,100,normal,1
120,536,17,1,16,50,lognormal,3
121,104,14,1,64,100,lognormal,3
122,476,5,1,1,300,lognormal,3
123,59,9,0,1,300,even_discrete,1
124,418,7,-1,1,100,uniform,1
125,284,7,1,4,300,normal,1
126,192,13,1,1,100,lognormal,1
127,374,15,1,64,300,normal,2
128,195,9,-1,16,50,lognormal,1
129,460,16,0,64,300,even_discrete,3
130,298,17,-1,1,100,normal,1
131,253,13,-1,0.25,50,even_discrete,2
132,367,4,-1,64,50,lognormal,1
133,277,18,0,16,100,even_discrete,3
134,310,6,-1,16,300,even_discrete,3
135,214,14,0,16,100,normal,3
136,139,17,0,1,100,normal,1
137,10,3,1,64,300,normal,1
138,151,3,0,16,300,normal,3
139,432,19,1,4,50,even_discrete,3
140,334,11,0,16,100,lognormal,3
141,242,11,-1,4,50,lognormal,1
142,526,19,0,0,300,lognormal,2
143,466,13,1,16,50,lognormal,1
144,462,1,0,64,100,lognormal,2
145,43,17,0,64,50,even_discrete,3
146,428,16,1,0.25,50,even_discrete,3
147,44,16,1,16,300,even_discrete,1
148,96,19,1,1,300,lognormal,2
149,204,16,0,0.25,100,even_discrete,1
150,524,19,0,16,300,uniform,3
151,200,3,0,0,50,uniform,2
152,336,2,0,4,100,uniform,2
153,173,18,1,16,100,lognormal,3
154,525,19,0,1,50,even_discrete,1
155,233,1,0,1,300,even_discrete,2
156,380,6,-1,1,100,normal,2
157,21,5,1,1,300,normal,3
158,437,1,-1,64,100,normal,2
159,85,11,0,4,50,lognormal,1
160,226,18,-1,4,100,uniform,3
1,300,15,0,4,50,normal,3
2,122,15,1,64,50,even_discrete,1
3,373,5,1,1,100,even_discrete,2
4,245,3,-1,1,50,lognormal,1
5,420,20,-1,64,50,lognormal,3
6,37,7,0,0.25,100,uniform,1
7,48,18,-1,0.25,100,uniform,2
8,499,9,1,4,50,even_discrete,2
9,427,16,-1,1,300,lognormal,3
10,79,12,0,4,300,even_discrete,1
11,96,12,1,1,300,lognormal,2
12,555,9,0,64,50,lognormal,1
13,189,16,0,0.25,300,uniform,3
14,162,9,1,0.25,300,lognormal,3
15,173,18,1,16,100,lognormal,3
16,244,7,0,1,300,even_discrete,3
17,403,12,0,64,100,normal,3
18,384,20,0,16,300,normal,2
19,209,19,0,0,300,normal,1
20,158,12,-1,4,50,even_discrete,2
21,347,20,1,4,100,uniform,3
22,539,6,1,16,300,normal,2
23,523,10,-1,64,300,uniform,1
24,379,9,0,4,50,uniform,2
25,351,18,-1,16,100,even_discrete,1
26,128,5,0,0,300,uniform,3
27,393,15,-1,0.25,300,normal,3
28,133,16,0,4,100,even_discrete,3
29,71,3,0,16,300,even_discrete,3
30,491,16,-1,0.25,50,normal,2
31,181,6,0,16,100,normal,1
32,105,8,1,0.25,100,uniform,3
33,132,4,-1,4,50,even_discrete,1
34,164,8,1,64,50,normal,3
35,544,16,0,1,50,uniform,1
36,417,14,1,4,100,lognormal,1
37,367,14,-1,64,50,lognormal,1
38,82,12,-1,0.25,300,normal,1
39,570,7,-1,16,50,normal,1
40,99,19,-1,1,300,uniform,3
41,448,20,0,64,300,lognormal,1
42,383,16,0,1,100,normal,2
43,100,4,0,4,300,normal,3
44,314,16,-1,1,100,even_discrete,1
45,576,14,0,4,300,uniform,1
46,570,14,-1,16,50,normal,1
47,109,16,1,16,100,lognormal,2
48,22,20,0,16,300,even_discrete,2
49,414,11,-1,64,300,uniform,3
50,292,6,0,1,100,even_discrete,2
51,299,4,-1,64,100,uniform,3
52,60,13,1,16,100,uniform,2
53,453,9,0,16,50,lognormal,1
54,327,16,-1,4,100,normal,1
55,271,7,1,1,300,even_discrete,3
56,496,9,0,16,100,lognormal,1
57,335,3,-1,64,50,normal,3
58,317,3,0,1,300,uniform,2
59,60,10,1,16,100,uniform,2
60,531,5,1,16,100,normal,2
61,127,1,-1,0.25,300,uniform,2
62,253,11,-1,0.25,50,even_discrete,2
63,101,5,1,16,300,uniform,1
64,260,14,1,64,50,normal,2
65,170,20,0,0,300,normal,2
66,65,20,0,64,100,normal,2
67,88,14,1,1,50,lognormal,3
68,451,17,-1,0.25,100,lognormal,1
69,382,18,-1,16,100,normal,3
70,557,1,1,0.25,300,uniform,1
71,211,1,0,0,50,uniform,3
72,228,6,1,64,300,even_discrete,2
73,324,1,0,64,50,normal,3
74,276,7,0,4,50,lognormal,2
75,96,11,1,1,300,lognormal,2
76,538,18,-1,64,300,lognormal,1
77,398,17,0,0.25,100,normal,2
78,570,20,-1,16,50,normal,1
79,564,9,1,64,50,uniform,1
80,354,11,-1,16,50,even_discrete,3
81,457,4,1,16,100,uniform,3
82,400,7,1,1,300,uniform,1
83,552,15,1,0.25,100,uniform,1
84,467,13,1,4,300,even_discrete,2
85,46,11,1,4,300,even_discrete,3
86,9,15,-1,1,300,normal,1
87,121,2,0,64,50,uniform,1
88,320,8,-1,0.25,100,lognormal,3
