a,b,n,x_dist,rep,lineup_id
0,0,50,uniform,1,370
-1,0.25,50,uniform,1,199
0,0.25,50,uniform,1,270
1,0.25,50,uniform,1,251
-1,1,50,uniform,1,447
0,1,50,uniform,1,544
1,1,50,uniform,1,506
-1,4,50,uniform,1,52
0,4,50,uniform,1,120
1,4,50,uniform,1,110
-1,16,50,uniform,1,339
0,16,50,uniform,1,196
1,16,50,uniform,1,484
-1,64,50,uniform,1,323
0,64,50,uniform,1,121
1,64,50,uniform,1,564
0,0,100,uniform,1,386
-1,0.25,100,uniform,1,494
0,0.25,100,uniform,1,37
1,0.25,100,uniform,1,552
-1,1,100,uniform,1,418
0,1,100,uniform,1,76
1,1,100,uniform,1,23
-1,4,100,uniform,1,381
0,4,100,uniform,1,520
1,4,100,uniform,1,137
-1,16,100,uniform,1,425
0,16,100,uniform,1,333
1,16,100,uniform,1,561
-1,64,100,uniform,1,252
0,64,100,uniform,1,218
1,64,100,uniform,1,399
0,0,300,uniform,1,549
-1,0.25,300,uniform,1,179
0,0.25,300,uniform,1,368
1,0.25,300,uniform,1,557
-1,1,300,uniform,1,375
0,1,300,uniform,1,402
1,1,300,uniform,1,400
-1,4,300,uniform,1,129
0,4,300,uniform,1,576
1,4,300,uniform,1,178
-1,16,300,uniform,1,45
0,16,300,uniform,1,575
1,16,300,uniform,1,101
-1,64,300,uniform,1,523
0,64,300,uniform,1,449
1,64,300,uniform,1,63
0,0,50,normal,1,455
-1,0.25,50,normal,1,469
0,0.25,50,normal,1,286
1,0.25,50,normal,1,269
-1,1,50,normal,1,6
0,1,50,normal,1,396
1,1,50,normal,1,221
-1,4,50,normal,1,463
0,4,50,normal,1,574
1,4,50,normal,1,217
-1,16,50,normal,1,570
0,16,50,normal,1,529
1,16,50,normal,1,315
-1,64,50,normal,1,348
0,64,50,normal,1,546
1,64,50,normal,1,515
0,0,100,normal,1,366
-1,0.25,100,normal,1,176
0,0.25,100,normal,1,90
1,0.25,100,normal,1,419
-1,1,100,normal,1,298
0,1,100,normal,1,139
1,1,100,normal,1,293
-1,4,100,normal,1,327
0,4,100,normal,1,312
1,4,100,normal,1,372
-1,16,100,normal,1,356
0,16,100,normal,1,181
1,16,100,normal,1,111
-1,64,100,normal,1,464
0,64,100,normal,1,409
1,64,100,normal,1,153
0,0,300,normal,1,209
-1,0.25,300,normal,1,82
0,0.25,300,normal,1,115
1,0.25,300,normal,1,308
-1,1,300,normal,1,9
0,1,300,normal,1,282
1,1,300,normal,1,2
-1,4,300,normal,1,222
0,4,300,normal,1,456
1,4,300,normal,1,284
-1,16,300,normal,1,517
0,16,300,normal,1,559
1,16,300,normal,1,558
-1,64,300,normal,1,168
0,64,300,normal,1,160
1,64,300,normal,1,10
0,0,50,lognormal,1,106
-1,0.25,50,lognormal,1,495
0,0.25,50,lognormal,1,412
1,0.25,50,lognormal,1,283
-1,1,50,lognormal,1,245
0,1,50,lognormal,1,371
1,1,50,lognormal,1,78
-1,4,50,lognormal,1,242
0,4,50,lognormal,1,85
1,4,50,lognormal,1,14
-1,16,50,lognormal,1,195
0,16,50,lognormal,1,453
1,16,50,lognormal,1,466
-1,64,50,lognormal,1,367
0,64,50,lognormal,1,555
1,64,50,lognormal,1,346
0,0,100,lognormal,1,264
-1,0.25,100,lognormal,1,451
0,0.25,100,lognormal,1,514
1,0.25,100,lognormal,1,272
-1,1,100,lognormal,1,254
0,1,100,lognormal,1,25
1,1,100,lognormal,1,192
-1,4,100,lognormal,1,569
0,4,100,lognormal,1,436
1,4,100,lognormal,1,417
-1,16,100,lognormal,1,340
0,16,100,lognormal,1,496
1,16,100,lognormal,1,36
-1,64,100,lognormal,1,444
0,64,100,lognormal,1,273
1,64,100,lognormal,1,47
0,0,300,lognormal,1,249
-1,0.25,300,lognormal,1,411
0,0.25,300,lognormal,1,224
1,0.25,300,lognormal,1,190
-1,1,300,lognormal,1,26
0,1,300,lognormal,1,405
1,1,300,lognormal,1,281
-1,4,300,lognormal,1,91
0,4,300,lognormal,1,480
1,4,300,lognormal,1,193
-1,16,300,lognormal,1,250
0,16,300,lognormal,1,490
1,16,300,lognormal,1,174
-1,64,300,lognormal,1,538
0,64,300,lognormal,1,448
1,64,300,lognormal,1,440
0,0,50,even_discrete,1,247
-1,0.25,50,even_discrete,1,186
0,0.25,50,even_discrete,1,518
1,0.25,50,even_discrete,1,198
-1,1,50,even_discrete,1,230
0,1,50,even_discrete,1,525
1,1,50,even_discrete,1,301
-1,4,50,even_discrete,1,132
0,4,50,even_discrete,1,159
1,4,50,even_discrete,1,509
-1,16,50,even_discrete,1,309
0,16,50,even_discrete,1,154
