page,response_time,set,num,selection,num_selection,reason,confidence,prolific_id,age_group,education,pronoun,previous_experience,lineup_id,type,formula,a,b,x_dist,e_dist,e_sigma,name,k,n,effect_size,answer,detect,conventional_p_value,p_value,weigthed_detect,prop_detect
5,15701.200000047684,1,1,5,1,Cluster(s),Moderately,60ee4a789df895b03c75495b,25-39,High School or below,He,Yes,452,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,4,uniform,normal,1,heter_452,20,300,75.96349500817807,5,TRUE,4.580879331096078e-13,0.015859999999999985,1,0.5
6,33462.10000002384,1,2,5,1,Outlier(s),Not at all,60ee4a789df895b03c75495b,25-39,High School or below,He,Yes,307,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,64,lognormal,normal,1,heter_307,20,50,96.87086983072648,9,FALSE,0.20483426436136543,1,0,0
7,40118,1,3,11,1,Shape,Not at all,60ee4a789df895b03c75495b,25-39,High School or below,He,Yes,464,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,-1,64,normal,normal,1,heter_464,20,100,151.2253624286227,11,TRUE,0.002588157872514607,0.09526000000000001,1,0.5
8,21381.899999976158,1,4,0,0,NA,NA,60ee4a789df895b03c75495b,25-39,High School or below,He,Yes,19,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,0.25,even_discrete,normal,1,heter_19,20,300,4.521834521699631,12,FALSE,0.042731670170630204,0.22762000000000004,0,0.1111111111111111
9,24999.100000023842,1,5,9,1,Outlier(s),Slightly,60ee4a789df895b03c75495b,25-39,High School or below,He,Yes,156,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,16,lognormal,normal,1,heter_156,20,300,236.91854519145096,17,FALSE,4.48203489428099e-8,0.09526000000000001,0,0.5
10,13933.899999976158,1,6,10,1,Shape,Slightly,60ee4a789df895b03c75495b,25-39,High School or below,He,Yes,303,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,-1,1,even_discrete,normal,1,heter_303,20,300,47.64612598905457,10,TRUE,2.116055051037339e-9,0.0034399999999999986,1,1
11,34589.799999952316,1,7,0,0,NA,NA,60ee4a789df895b03c75495b,25-39,High School or below,He,Yes,18,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,-1,4,lognormal,normal,1,heter_18,20,100,7.703433448631575,1,FALSE,0.010344604916871725,0.09526000000000001,0,0.5
12,39823.10000002384,1,8,3,1,Shape,Not at all,60ee4a789df895b03c75495b,25-39,High School or below,He,Yes,291,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,1,normal,normal,1,heter_291,20,100,15.373645026733023,20,FALSE,0.5060658587909393,1,0,0
13,14887.5,1,9,9,1,Cluster(s),Slightly,60ee4a789df895b03c75495b,25-39,High School or below,He,Yes,468,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,0.25,lognormal,normal,1,heter_468,20,100,5.1195829681573635,20,FALSE,0.7736466730287189,1,0,0
14,16557.5,1,10,8,1,Shape,Slightly,60ee4a789df895b03c75495b,25-39,High School or below,He,Yes,457,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,16,uniform,normal,1,heter_457,20,100,86.08673651444215,8,TRUE,0.0014476255671331832,0.05025999999999997,1,1
15,9142.700000047684,1,11,11,1,Cluster(s),Extremely,60ee4a789df895b03c75495b,25-39,High School or below,He,Yes,588,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,256,uniform,normal,1,heter_588,20,300,593.468161694829,11,TRUE,1.8215070600580243e-13,0,1,1
16,34294.5,1,12,14,1,Outlier(s),Not at all,60ee4a789df895b03c75495b,25-39,High School or below,He,Yes,219,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,0.25,normal,normal,1,heter_219,20,300,1.9473918176741734,14,TRUE,0.5818377243088219,0.009780000000000011,1,0.6666666666666666
17,16021.800000071526,1,13,2,1,Outlier(s),Moderately,60ee4a789df895b03c75495b,25-39,High School or below,He,Yes,509,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,4,even_discrete,normal,1,heter_509,20,50,16.362526942684482,2,TRUE,2.541987159854502e-5,0.0034399999999999986,1,1
18,29743.099999904633,1,14,6_7_9_11_17,5,Outlier(s),Not at all,60ee4a789df895b03c75495b,25-39,High School or below,He,Yes,84,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,-1,0.25,uniform,normal,1,heter_84,20,50,1.4096035001211646,20,FALSE,0.743203787547965,1,0,0
19,17582.700000047684,1,15,4_3,2,Outlier(s),Slightly,60ee4a789df895b03c75495b,25-39,High School or below,He,Yes,300,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,4,normal,normal,1,heter_300,20,50,10.235086304131523,4,TRUE,0.007183153009694535,0.04039999999999999,0.5,0.5
20,10733.799999952316,1,16,19,1,Cluster(s),Extremely,60ee4a789df895b03c75495b,25-39,High School or below,He,Yes,449,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,64,uniform,normal,1,heter_449,20,300,350.16273647832816,19,TRUE,1.4061419775405696e-12,0.0034399999999999986,1,1
21,20446.799999952316,1,17,12_10_7,3,Outlier(s),Not at all,60ee4a789df895b03c75495b,25-39,High School or below,He,Yes,478,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,0,even_discrete,normal,1,heter_478,20,100,0,19,FALSE,0.12184398328198669,1,0,0
22,31622,1,18,1_20,2,Shape,Slightly,60ee4a789df895b03c75495b,25-39,High School or below,He,Yes,544,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,1,uniform,normal,1,heter_544,20,50,3.296607788043742,14,FALSE,0.28543313504655415,1,0,0
23,23470.899999976158,1,19,9_15,2,Cluster(s),Not at all,60ee4a789df895b03c75495b,25-39,High School or below,He,Yes,513,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,-1,16,even_discrete,normal,1,heter_513,20,50,38.45560208800325,9,TRUE,0.014747883249452467,0.37398,0.5,0.125
24,11079.199999928474,1,20,2,1,Cluster(s),Extremely,60ee4a789df895b03c75495b,25-39,High School or below,He,Yes,578,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,128,uniform,normal,1,heter_578,20,300,510.0051619821702,2,TRUE,5.657831625073182e-12,0,1,0.9375
5,113174.90000000596,2,1,1,1,Cluster(s),Slightly,6137d45d71fa7f89d4194272                            ,18-24,Diploma and Bachelor Degree,She,No,361,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,1,even_discrete,normal,1,heter_361,20,50,3.601518578856293,10,FALSE,0.22515084869745366,1,0,0
6,14490.40000000596,2,2,4_5,2,Shape,Moderately,6137d45d71fa7f89d4194272                            ,18-24,Diploma and Bachelor Degree,She,No,553,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,16,uniform,normal,1,heter_553,20,300,190.129327127605,4,TRUE,2.8272307455811398e-14,0.10146,0.5,0.5
7,48117.80000001192,2,3,3,1,Shape,Moderately,6137d45d71fa7f89d4194272                            ,18-24,Diploma and Bachelor Degree,She,No,583,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,256,uniform,normal,1,heter_583,20,300,516.1718186809517,3,TRUE,1.1328727272885226e-13,0,1,0.875
8,35390,2,4,4_13_8,3,Outlier(s),Slightly,6137d45d71fa7f89d4194272                            ,18-24,Diploma and Bachelor Degree,She,No,14,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,4,lognormal,normal,1,heter_14,20,50,25.833870615641402,5,FALSE,0.34173741039482214,1,0,0
9,36166.09999999404,2,5,5_9_10_19,4,Cluster(s),Slightly,6137d45d71fa7f89d4194272                            ,18-24,Diploma and Bachelor Degree,She,No,467,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,4,even_discrete,normal,1,heter_467,20,300,119.43024669117264,5,TRUE,4.50654544625571e-12,0.012519999999999976,0.25,0.625
10,51566.20000001788,2,6,4_3_8,3,Outlier(s),Slightly,6137d45d71fa7f89d4194272                            ,18-24,Diploma and Bachelor Degree,She,No,328,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,0.25,even_discrete,normal,1,heter_328,20,300,4.351512971580448,15,FALSE,0.011439077406923698,1,0,0
11,41666,2,7,2_15,2,Outlier(s),Slightly,6137d45d71fa7f89d4194272                            ,18-24,Diploma and Bachelor Degree,She,No,543,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,-1,4,uniform,normal,1,heter_543,20,100,36.581567918394924,12,FALSE,1.996956914598933e-4,0.024980000000000002,0,0.5
12,43834.39999997616,2,8,17_19_20,3,Cluster(s),Slightly,6137d45d71fa7f89d4194272                            ,18-24,Diploma and Bachelor Degree,She,No,427,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,-1,1,lognormal,normal,1,heter_427,20,300,3.3774274951898917,4,FALSE,0.1688691237482897,1,0,0
13,24157.90000000596,2,9,16_1,2,Cluster(s),Slightly,6137d45d71fa7f89d4194272                            ,18-24,Diploma and Bachelor Degree,She,No,338,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,64,lognormal,normal,1,heter_338,20,300,425.8719407029612,16,TRUE,4.057373209482772e-7,0.006800000000000028,0.5,0.75
14,44886.90000000596,2,10,5_3,2,Shape,Slightly,6137d45d71fa7f89d4194272                            ,18-24,Diploma and Bachelor Degree,She,No,483,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,0,lognormal,normal,1,heter_483,20,50,0,8,FALSE,0.08853984836699934,1,0,0
