a,b,c,x_dist,x_mu,x_n,x_sigma,z_discrete,z_discrete_dist,z_n,e_dist,e_df,e_sigma,n,model,statistics,pvalue,effect_size,answer
1,26.17652966082096,NA,discrete_uniform,0,10,0.6,FALSE,NA,NA,NA,NA,NA,50,heter,17.112412215656246,1.9234765737166044e-4,185.096016310973,TRUE
-1,26.489258877933025,NA,discrete_uniform,0,20,0.6,FALSE,NA,NA,NA,NA,NA,100,heter,14.943793458355836,5.688483217815641e-4,264.89258877933025,TRUE
1,10.545315720140934,NA,lognormal,0,11,0.6,FALSE,NA,NA,NA,NA,NA,300,heter,11.672151727149615,0.002920279746850785,182.65022609138884,TRUE
-1,8.648769684135914,NA,discrete_uniform,0,20,0.6,FALSE,NA,NA,NA,NA,NA,100,heter,21.670026548579298,1.9697609509282877e-5,86.48769684135914,TRUE
-1,24.733499854803085,NA,uniform,0,14,0.6,FALSE,NA,NA,NA,NA,NA,100,heter,23.58373550006598,7.565835681281263e-6,247.33499854803085,TRUE
1,9.786290623247623,NA,neglognormal,0,18,0.6,FALSE,NA,NA,NA,NA,NA,300,heter,32.81915643779117,7.47155037942943e-8,169.50352577099778,FALSE
0,29.76838017255068,NA,lognormal,0,13,0.6,FALSE,NA,NA,NA,NA,NA,300,heter,32.76394451273903,7.680683092827542e-8,515.6034691788376,TRUE
-1,13.94086204469204,NA,discrete_uniform,0,12,0.6,FALSE,NA,NA,NA,NA,NA,50,heter,6.56786990223624,0.03748048238921174,98.576780873879,TRUE
1,0.28395579755306244,NA,discrete_uniform,0,13,0.6,FALSE,NA,NA,NA,NA,NA,100,heter,8.203535985340384,0.016543400919286192,2.8395579755306244,FALSE
-1,7.138910815119743,NA,neglognormal,0,14,0.6,FALSE,NA,NA,NA,NA,NA,300,heter,8.458261844755606,0.014565043202664187,123.64956242490345,TRUE
0,30.40491434931755,NA,neglognormal,0,14,0.6,FALSE,NA,NA,NA,NA,NA,50,heter,2.7534168855367245,0.25240800260685414,214.99521117798605,TRUE
-1,15.584516800940037,NA,lognormal,0,17,0.6,FALSE,NA,NA,NA,NA,NA,300,heter,190.54887620008427,4.196017267304522e-42,269.9317491063893,TRUE
-1,16.48949847370386,NA,neglognormal,0,10,0.6,FALSE,NA,NA,NA,NA,NA,300,heter,12.627559895153501,0.0018111741405568344,285.60649147784545,TRUE
0,13.171968646347523,NA,discrete_uniform,0,11,0.6,FALSE,NA,NA,NA,NA,NA,100,heter,18.85102923099729,8.064009177986908e-5,131.71968646347523,TRUE
-1,29.986633986234665,NA,normal,0,12,0.3,FALSE,NA,NA,NA,NA,NA,300,heter,27.878576594873635,8.835762031731145e-7,519.383736121301,TRUE
1,9.624692603945732,NA,normal,0,13,0.3,FALSE,NA,NA,NA,NA,NA,50,heter,30.58246813228097,2.28613263629947e-7,68.05685407086037,FALSE
-1,14.0613012611866,NA,uniform,0,20,0.6,FALSE,NA,NA,NA,NA,NA,300,heter,54.189198847070095,1.7098774348056479e-12,243.54888204907525,TRUE
1,7.9754564464092255,NA,discrete_uniform,0,15,0.6,FALSE,NA,NA,NA,NA,NA,50,heter,8.514587048555219,0.01416057584848436,56.394993363139285,TRUE
-1,2.8103147596120834,NA,neglognormal,0,15,0.6,FALSE,NA,NA,NA,NA,NA,50,heter,1.4729610007828091,0.47879607620550857,19.871926237903466,FALSE
0,9.735122583806515,NA,discrete_uniform,0,15,0.6,FALSE,NA,NA,NA,NA,NA,100,heter,25.278667734127097,3.241955479823521e-6,97.35122583806515,TRUE
0,13.40006897598505,NA,discrete_uniform,0,12,0.6,FALSE,NA,NA,NA,NA,NA,300,heter,50.69040211525518,9.833747164336738e-12,232.09600291333567,TRUE
0,31.031421348452568,NA,uniform,0,13,0.6,FALSE,NA,NA,NA,NA,NA,300,heter,56.79620369693254,4.643667021444426e-13,537.4799840659738,TRUE
-1,31.197193913161755,NA,neglognormal,0,17,0.6,FALSE,NA,NA,NA,NA,NA,50,heter,1.0226604261631165,0.599697322780927,220.5974736998836,FALSE
1,22.07961220294237,NA,normal,0,16,0.3,FALSE,NA,NA,NA,NA,NA,300,heter,37.3502798996237,7.753356815983781e-9,382.43010146913974,TRUE
1,0.28953197598457336,NA,discrete_uniform,0,15,0.6,FALSE,NA,NA,NA,NA,NA,50,heter,1.950532829893486,0.37709187726715837,2.0473002358903245,TRUE
-1,4.674433305859566,NA,neglognormal,0,14,0.6,FALSE,NA,NA,NA,NA,NA,300,heter,9.571350457532903,0.008348484707305264,80.96355982340918,TRUE
-1,10.040860779583454,NA,lognormal,0,10,0.6,FALSE,NA,NA,NA,NA,NA,100,heter,18.62472817290065,9.030081370518434e-5,100.40860779583454,TRUE
