subject,lineup_id,shape,n,x_dist,e_sigma,rep
1,303,1,50,even_discrete,4,1
2,427,1,50,even_discrete,2,3
3,443,3,50,normal,2,3
4,488,1,50,lognormal,1,2
5,520,1,50,lognormal,0.5,1
6,548,1,50,normal,4,2
7,501,1,50,normal,1,2
8,382,3,50,lognormal,1,3
9,403,3,100,lognormal,1,3
10,288,3,50,lognormal,0.5,2
11,335,2,50,normal,1,3
12,373,3,300,normal,4,2
13,306,1,300,normal,2,3
14,181,4,50,lognormal,1,1
15,447,1,100,uniform,0.5,1
16,464,2,100,lognormal,1,1
17,149,3,100,even_discrete,2,3
18,499,2,300,uniform,4,2
19,569,4,300,normal,2,1
20,482,4,100,lognormal,2,2
21,186,2,50,uniform,4,1
22,472,2,50,uniform,2,2
23,135,2,300,normal,1,3
24,351,3,50,lognormal,4,1
25,16,3,50,normal,2,2
26,111,1,100,lognormal,1,1
27,148,2,50,lognormal,2,3
28,39,3,100,uniform,2,2
29,565,2,50,uniform,1,3
30,551,3,100,lognormal,2,3
31,285,2,300,uniform,0.5,3
32,91,4,50,even_discrete,2,1
33,386,1,100,normal,0.5,1
34,405,2,50,even_discrete,2,1
35,313,4,100,lognormal,1,3
36,223,3,300,even_discrete,1,3
37,368,3,300,lognormal,0.5,1
38,301,3,100,uniform,4,1
39,540,4,100,lognormal,0.5,2
40,106,1,50,uniform,2,1
41,330,1,100,uniform,0.5,3
42,346,4,50,normal,2,1
43,279,4,100,normal,4,1
44,365,4,300,uniform,0.5,2
45,191,3,100,uniform,1,2
46,17,3,300,lognormal,2,2
47,62,4,50,even_discrete,0.5,2
48,493,3,300,normal,2,2
49,395,2,100,uniform,1,3
50,289,2,300,even_discrete,1,3
51,281,3,50,even_discrete,2,1
52,538,2,300,even_discrete,2,1
53,401,4,300,even_discrete,1,3
54,244,2,50,even_discrete,4,3
55,48,2,100,normal,0.5,2
56,98,4,50,uniform,4,2
57,265,1,100,normal,0.5,2
58,342,4,100,uniform,2,2
59,1,2,300,lognormal,4,3
60,183,1,50,uniform,2,2
61,546,3,50,normal,1,1
62,302,2,50,even_discrete,2,2
63,11,1,100,normal,1,2
64,128,1,300,lognormal,0.5,3
65,23,3,300,normal,0.5,1
66,78,3,100,uniform,2,1
67,571,1,300,lognormal,4,3
68,485,2,100,even_discrete,0.5,3
69,452,1,100,even_discrete,0.5,2
70,406,2,300,normal,4,3
71,55,2,50,lognormal,1,3
72,398,3,100,normal,1,2
73,67,3,300,normal,0.5,3
74,291,3,300,normal,1,2
75,196,4,300,uniform,0.5,1
76,256,2,100,uniform,1,2
77,15,2,300,uniform,2,2
78,234,4,300,even_discrete,2,2
79,133,1,50,lognormal,4,3
80,63,4,300,even_discrete,0.5,1
81,554,1,50,even_discrete,2,2
82,318,3,50,uniform,1,3
83,574,1,300,uniform,1,1
84,383,2,300,normal,1,2
85,426,3,50,lognormal,2,3
86,231,1,300,uniform,4,2
87,77,3,100,even_discrete,1,3
88,515,4,50,normal,1,1
89,210,1,100,uniform,2,2
90,177,2,100,even_discrete,4,1
91,147,1,300,lognormal,0.5,2
92,364,3,100,normal,1,3
93,430,3,100,lognormal,0.5,2
94,531,1,100,lognormal,1,2
95,32,3,300,even_discrete,0.5,2
96,202,4,300,uniform,4,3
97,449,3,300,even_discrete,0.5,1
98,88,3,100,uniform,2,3
99,465,2,100,uniform,4,3
100,241,1,100,lognormal,1,3
101,141,3,300,uniform,2,2
102,385,3,100,normal,4,3
103,337,2,50,normal,2,2
104,388,4,50,normal,2,3
105,327,4,300,normal,1,1
106,194,3,300,lognormal,0.5,2
107,110,2,300,uniform,0.5,1
108,35,4,300,lognormal,1,3
109,474,1,50,uniform,1,3
110,42,4,50,uniform,1,2
111,94,3,300,even_discrete,4,2
112,27,3,50,even_discrete,4,1
113,487,2,100,lognormal,4,2
114,453,4,300,uniform,2,1
115,505,2,300,uniform,0.5,2
116,60,1,100,lognormal,0.5,2
117,349,4,300,normal,4,1
118,145,1,100,even_discrete,4,2
119,366,1,100,normal,1,1
120,536,1,50,normal,2,3
121,104,4,100,lognormal,2,3
122,476,3,50,even_discrete,2,3
123,59,2,50,even_discrete,4,1
124,418,1,300,normal,0.5,1
125,284,2,100,even_discrete,1,1
126,192,3,300,normal,2,1
127,374,4,300,even_discrete,1,2
128,195,3,300,uniform,2,1
129,460,3,300,even_discrete,4,3
130,298,1,300,normal,1,1
131,253,2,50,uniform,4,2
132,367,2,50,normal,2,1
133,277,4,50,lognormal,4,3
134,310,3,100,even_discrete,4,3
135,214,4,50,lognormal,1,3
136,139,2,300,normal,1,1
137,10,4,300,even_discrete,1,1
138,151,4,100,even_discrete,1,3
139,432,2,300,uniform,4,3
140,334,4,50,lognormal,2,3
141,242,4,100,uniform,2,1
142,526,1,300,lognormal,2,2
143,466,1,50,normal,2,1
144,462,3,100,lognormal,2,2
145,43,3,50,normal,4,3
146,428,4,50,uniform,4,3
147,44,1,300,even_discrete,4,1
148,96,3,50,even_discrete,2,2
149,204,3,100,normal,4,1
150,524,4,100,even_discrete,0.5,3
151,200,1,50,uniform,0.5,2
152,336,1,50,lognormal,0.5,2
153,173,1,100,lognormal,2,3
154,525,2,100,uniform,4,1
155,233,2,50,even_discrete,4,2
156,380,1,300,normal,1,2
157,21,3,50,even_discrete,1,3
158,437,2,100,lognormal,1,2
159,85,1,300,uniform,2,1
160,226,4,300,normal,0.5,3
1,419,4,100,normal,1,1
2,176,2,100,normal,1,1
3,379,1,300,uniform,0.5,2
4,63,4,300,even_discrete,0.5,1
5,499,2,300,uniform,4,2
6,78,3,100,uniform,2,1
7,155,2,100,lognormal,0.5,2
8,499,2,300,uniform,4,2
9,244,2,50,even_discrete,4,3
10,79,1,100,even_discrete,4,1
11,5,1,100,uniform,0.5,2
12,565,2,50,uniform,1,3
13,95,4,50,lognormal,1,2
14,83,3,100,uniform,0.5,2
15,68,3,300,normal,1,3
16,483,1,50,uniform,2,3
17,1,2,300,lognormal,4,3
18,520,1,50,lognormal,0.5,1
19,425,3,50,lognormal,0.5,1
20,418,1,300,normal,0.5,1
21,250,3,100,even_discrete,2,1
22,539,1,300,even_discrete,1,2
23,29,3,50,uniform,4,3
24,142,4,100,uniform,1,3
25,525,2,100,uniform,4,1
26,331,3,50,normal,0.5,3
27,161,4,100,uniform,4,3
28,133,1,50,lognormal,4,3
29,71,4,100,even_discrete,4,3
30,515,4,50,normal,1,1
31,181,4,50,lognormal,1,1
32,404,2,300,uniform,1,3
33,290,2,300,uniform,2,3
34,194,3,300,lognormal,0.5,2
35,85,1,300,uniform,2,1
36,57,4,50,lognormal,4,1
37,367,2,50,normal,2,1
38,82,2,300,lognormal,1,1
39,16,3,50,normal,2,2
40,179,2,300,lognormal,0.5,1
41,340,3,50,lognormal,2,1
42,354,3,300,uniform,4,3
43,107,1,300,lognormal,1,3
44,109,1,100,lognormal,2,2
45,262,1,300,lognormal,2,3
46,317,2,50,even_discrete,0.5,2
47,109,1,100,lognormal,2,2
48,437,2,100,lognormal,1,2
49,262,1,300,lognormal,2,3
50,277,4,50,lognormal,4,3
51,299,2,100,lognormal,0.5,3
52,515,4,50,normal,1,1
53,447,1,100,uniform,0.5,1
54,170,1,300,lognormal,1,2
55,271,3,50,even_discrete,4,3
56,462,3,100,lognormal,2,2
57,469,2,50,uniform,1,1
58,317,2,50,even_discrete,0.5,2
59,172,1,100,normal,0.5,3
60,63,4,300,even_discrete,0.5,1
61,399,4,100,lognormal,0.5,1
62,574,1,300,uniform,1,1
63,32,3,300,even_discrete,0.5,2
64,260,4,50,normal,1,2
65,148,2,50,lognormal,2,3
66,222,4,50,even_discrete,1,1
67,20,2,50,even_discrete,1,2
68,42,4,50,uniform,1,2
69,382,3,50,lognormal,1,3
70,474,1,50,uniform,1,3
71,41,4,100,uniform,0.5,2
72,537,4,300,uniform,0.5,3
73,26,1,50,even_discrete,2,1
74,56,1,50,lognormal,4,2
75,96,3,50,even_discrete,2,2
76,338,3,300,even_discrete,2,3
77,398,3,100,normal,1,2
78,409,3,100,lognormal,1,1
79,208,4,100,even_discrete,2,3
80,274,2,100,lognormal,4,3
81,313,4,100,lognormal,1,3
82,458,1,300,normal,4,2
83,311,4,50,lognormal,0.5,3
84,399,4,100,lognormal,0.5,1
85,46,2,100,even_discrete,4,3
86,403,3,100,lognormal,1,3
87,496,4,50,lognormal,2,1
88,255,2,300,even_discrete,0.5,2
89,401,4,300,even_discrete,1,3
90,283,4,50,uniform,2,1
91,320,2,100,normal,2,3
92,247,1,50,uniform,4,1
93,108,2,50,uniform,4,3
94,141,3,300,uniform,2,2
95,123,1,100,normal,2,3
96,126,3,100,normal,0.5,3
97,346,4,50,normal,2,1
98,414,2,300,even_discrete,0.5,3
99,189,3,300,lognormal,0.5,3
100,542,4,50,even_discrete,2,3
101,40,1,50,normal,4,3
102,474,1,50,uniform,1,3
103,301,3,100,uniform,4,1
104,504,3,100,lognormal,4,2
105,361,2,100,uniform,4,2
106,307,4,50,normal,2,2
107,362,4,50,lognormal,2,2
108,12,2,100,even_discrete,2,3
109,460,3,300,even_discrete,4,3
110,434,3,100,lognormal,0.5,3
111,445,4,50,normal,0.5,3
112,503,4,300,lognormal,2,2
113,222,4,50,even_discrete,1,1
114,454,2,100,normal,0.5,3
115,65,3,100,lognormal,1,2
116,513,3,300,uniform,4,2
117,412,3,50,uniform,2,1
118,493,3,300,normal,2,2
119,202,4,300,uniform,4,3
120,258,4,300,lognormal,4,1
121,223,3,300,even_discrete,1,3
122,152,1,100,normal,4,1
123,194,3,300,lognormal,0.5,2
124,417,2,50,lognormal,2,1
125,147,1,300,lognormal,0.5,2
126,119,1,50,uniform,4,3
127,386,1,100,normal,0.5,1
128,102,2,100,even_discrete,1,3
129,544,2,100,uniform,0.5,1
130,405,2,50,even_discrete,2,1
131,13,1,300,even_discrete,1,3
132,575,4,100,even_discrete,0.5,1
133,85,1,300,uniform,2,1
134,372,2,50,lognormal,1,1
135,511,1,100,even_discrete,2,2
136,336,1,50,lognormal,0.5,2
137,431,2,100,lognormal,2,3
138,418,1,300,normal,0.5,1
139,476,3,50,even_discrete,2,3
140,268,1,100,uniform,4,2
141,9,1,50,even_discrete,1,1
142,102,2,100,even_discrete,1,3
143,127,2,300,lognormal,0.5,2
144,282,2,50,even_discrete,1,1
145,35,4,300,lognormal,1,3
146,403,3,100,lognormal,1,3
147,41,4,100,uniform,0.5,2
148,330,1,100,uniform,0.5,3
149,206,4,50,lognormal,0.5,2
150,115,3,300,lognormal,1,1
151,493,3,300,normal,2,2
152,213,2,300,normal,2,2
153,352,4,300,even_discrete,4,1
154,190,4,300,lognormal,2,1
155,343,3,300,uniform,0.5,2
156,287,4,100,lognormal,0.5,3
157,371,2,100,uniform,2,1
158,86,3,50,uniform,0.5,2
159,399,4,100,lognormal,0.5,1
160,310,3,100,even_discrete,4,3
1,290,2,300,uniform,2,3
2,194,3,300,lognormal,0.5,2
3,559,4,100,even_discrete,1,1
4,320,2,100,normal,2,3
5,156,4,100,even_discrete,2,2
6,35,4,300,lognormal,1,3
7,202,4,300,uniform,4,3
8,552,4,100,normal,0.5,1
9,350,1,300,uniform,0.5,3
10,227,2,300,normal,2,3
11,423,3,300,even_discrete,2,2
12,489,1,100,even_discrete,0.5,3
13,361,2,100,uniform,4,2
14,75,2,300,even_discrete,4,1
15,8,2,50,lognormal,4,2
16,266,4,300,even_discrete,4,3
17,515,4,50,normal,1,1
18,208,4,100,even_discrete,2,3
19,361,2,100,uniform,4,2
20,282,2,50,even_discrete,1,1
21,381,4,300,normal,0.5,1
