subject,lineup_id,order,shape,n,x_dist,e_sigma,rep
1,303,6,1,50,even_discrete,4,1
2,427,8,1,50,even_discrete,2,3
3,443,14,3,50,normal,2,3
4,488,7,1,50,lognormal,1,2
5,520,14,1,50,lognormal,0.5,1
6,548,14,1,50,normal,4,2
7,501,2,1,50,normal,1,2
8,382,8,3,50,lognormal,1,3
9,403,12,3,100,lognormal,1,3
10,288,1,3,50,lognormal,0.5,2
11,335,16,2,50,normal,1,3
12,373,12,3,300,normal,4,2
13,306,5,1,300,normal,2,3
14,181,8,4,50,lognormal,1,1
15,447,3,1,100,uniform,0.5,1
16,464,8,2,100,lognormal,1,1
17,149,7,3,100,even_discrete,2,3
18,499,4,2,300,uniform,4,2
19,569,8,4,300,normal,2,1
20,482,3,4,100,lognormal,2,2
21,186,10,2,50,uniform,4,1
22,472,18,2,50,uniform,2,2
23,135,2,2,300,normal,1,3
24,351,4,3,50,lognormal,4,1
25,16,14,3,50,normal,2,2
26,111,6,1,100,lognormal,1,1
27,148,12,2,50,lognormal,2,3
28,39,17,3,100,uniform,2,2
29,565,10,2,50,uniform,1,3
30,551,2,3,100,lognormal,2,3
31,285,17,2,300,uniform,0.5,3
32,91,1,4,50,even_discrete,2,1
33,386,5,1,100,normal,0.5,1
34,405,9,2,50,even_discrete,2,1
35,313,3,4,100,lognormal,1,3
36,223,13,3,300,even_discrete,1,3
37,368,10,3,300,lognormal,0.5,1
38,301,6,3,100,uniform,4,1
39,540,20,4,100,lognormal,0.5,2
40,106,5,1,50,uniform,2,1
41,330,12,1,100,uniform,0.5,3
42,346,20,4,50,normal,2,1
43,279,17,4,100,normal,4,1
44,365,17,4,300,uniform,0.5,2
45,191,1,3,100,uniform,1,2
46,17,19,3,300,lognormal,2,2
47,62,7,4,50,even_discrete,0.5,2
48,493,8,3,300,normal,2,2
49,395,7,2,100,uniform,1,3
50,289,3,2,300,even_discrete,1,3
51,281,18,3,50,even_discrete,2,1
52,538,17,2,300,even_discrete,2,1
53,401,19,4,300,even_discrete,1,3
54,244,6,2,50,even_discrete,4,3
55,48,20,2,100,normal,0.5,2
56,98,19,4,50,uniform,4,2
57,265,15,1,100,normal,0.5,2
58,342,7,4,100,uniform,2,2
59,1,1,2,300,lognormal,4,3
60,183,3,1,50,uniform,2,2
61,546,4,3,50,normal,1,1
62,302,20,2,50,even_discrete,2,2
63,11,9,1,100,normal,1,2
64,128,11,1,300,lognormal,0.5,3
65,23,11,3,300,normal,0.5,1
66,78,12,3,100,uniform,2,1
67,571,4,1,300,lognormal,4,3
68,485,15,2,100,even_discrete,0.5,3
69,452,6,1,100,even_discrete,0.5,2
70,406,4,2,300,normal,4,3
71,55,18,2,50,lognormal,1,3
72,398,15,3,100,normal,1,2
73,67,12,3,300,normal,0.5,3
74,291,17,3,300,normal,1,2
75,196,2,4,300,uniform,0.5,1
76,256,3,2,100,uniform,1,2
77,15,1,2,300,uniform,2,2
78,234,2,4,300,even_discrete,2,2
79,133,1,1,50,lognormal,4,3
80,63,9,4,300,even_discrete,0.5,1
81,554,1,1,50,even_discrete,2,2
82,318,18,3,50,uniform,1,3
83,574,18,1,300,uniform,1,1
84,383,19,2,300,normal,1,2
85,426,8,3,50,lognormal,2,3
86,231,20,1,300,uniform,4,2
87,77,18,3,100,even_discrete,1,3
88,515,10,4,50,normal,1,1
89,210,7,1,100,uniform,2,2
90,177,14,2,100,even_discrete,4,1
91,147,8,1,300,lognormal,0.5,2
92,364,16,3,100,normal,1,3
93,430,20,3,100,lognormal,0.5,2
94,531,11,1,100,lognormal,1,2
95,32,1,3,300,even_discrete,0.5,2
96,202,10,4,300,uniform,4,3
97,449,12,3,300,even_discrete,0.5,1
98,88,20,3,100,uniform,2,3
99,465,12,2,100,uniform,4,3
100,241,20,1,100,lognormal,1,3
101,141,8,3,300,uniform,2,2
102,385,15,3,100,normal,4,3
103,337,19,2,50,normal,2,2
104,388,3,4,50,normal,2,3
105,327,18,4,300,normal,1,1
106,194,19,3,300,lognormal,0.5,2
107,110,14,2,300,uniform,0.5,1
108,35,12,4,300,lognormal,1,3
109,474,13,1,50,uniform,1,3
110,42,13,4,50,uniform,1,2
111,94,11,3,300,even_discrete,4,2
112,27,8,3,50,even_discrete,4,1
113,487,17,2,100,lognormal,4,2
114,453,5,4,300,uniform,2,1
115,505,13,2,300,uniform,0.5,2
116,60,12,1,100,lognormal,0.5,2
117,349,12,4,300,normal,4,1
118,145,3,1,100,even_discrete,4,2
119,366,19,1,100,normal,1,1
120,536,17,1,50,normal,2,3
121,104,14,4,100,lognormal,2,3
122,476,5,3,50,even_discrete,2,3
123,59,9,2,50,even_discrete,4,1
124,418,7,1,300,normal,0.5,1
125,284,7,2,100,even_discrete,1,1
126,192,13,3,300,normal,2,1
127,374,15,4,300,even_discrete,1,2
128,195,9,3,300,uniform,2,1
129,460,16,3,300,even_discrete,4,3
130,298,17,1,300,normal,1,1
131,253,13,2,50,uniform,4,2
132,367,4,2,50,normal,2,1
133,277,18,4,50,lognormal,4,3
134,310,6,3,100,even_discrete,4,3
135,214,14,4,50,lognormal,1,3
136,139,17,2,300,normal,1,1
137,10,3,4,300,even_discrete,1,1
138,151,3,4,100,even_discrete,1,3
139,432,19,2,300,uniform,4,3
140,334,11,4,50,lognormal,2,3
141,242,11,4,100,uniform,2,1
142,526,19,1,300,lognormal,2,2
143,466,13,1,50,normal,2,1
144,462,1,3,100,lognormal,2,2
145,43,17,3,50,normal,4,3
146,428,16,4,50,uniform,4,3
147,44,16,1,300,even_discrete,4,1
148,96,19,3,50,even_discrete,2,2
149,204,16,3,100,normal,4,1
150,524,19,4,100,even_discrete,0.5,3
151,200,3,1,50,uniform,0.5,2
152,336,2,1,50,lognormal,0.5,2
153,173,18,1,100,lognormal,2,3
154,525,19,2,100,uniform,4,1
155,233,1,2,50,even_discrete,4,2
156,380,6,1,300,normal,1,2
