shape,n,x_dist,e_sigma,rep,lineup_id
1,50,uniform,0.5,1,370
2,50,uniform,0.5,1,199
3,50,uniform,0.5,1,270
4,50,uniform,0.5,1,251
1,100,uniform,0.5,1,447
2,100,uniform,0.5,1,544
3,100,uniform,0.5,1,506
4,100,uniform,0.5,1,52
1,300,uniform,0.5,1,120
2,300,uniform,0.5,1,110
3,300,uniform,0.5,1,339
4,300,uniform,0.5,1,196
1,50,normal,0.5,1,484
2,50,normal,0.5,1,323
3,50,normal,0.5,1,121
4,50,normal,0.5,1,564
1,100,normal,0.5,1,386
2,100,normal,0.5,1,494
3,100,normal,0.5,1,37
4,100,normal,0.5,1,552
1,300,normal,0.5,1,418
2,300,normal,0.5,1,76
3,300,normal,0.5,1,23
4,300,normal,0.5,1,381
1,50,lognormal,0.5,1,520
2,50,lognormal,0.5,1,137
3,50,lognormal,0.5,1,425
4,50,lognormal,0.5,1,333
1,100,lognormal,0.5,1,561
2,100,lognormal,0.5,1,252
3,100,lognormal,0.5,1,218
4,100,lognormal,0.5,1,399
1,300,lognormal,0.5,1,549
2,300,lognormal,0.5,1,179
3,300,lognormal,0.5,1,368
4,300,lognormal,0.5,1,557
1,50,even_discrete,0.5,1,375
2,50,even_discrete,0.5,1,402
3,50,even_discrete,0.5,1,400
4,50,even_discrete,0.5,1,129
1,100,even_discrete,0.5,1,576
2,100,even_discrete,0.5,1,178
3,100,even_discrete,0.5,1,45
4,100,even_discrete,0.5,1,575
1,300,even_discrete,0.5,1,101
2,300,even_discrete,0.5,1,523
3,300,even_discrete,0.5,1,449
4,300,even_discrete,0.5,1,63
1,50,uniform,1,1,455
2,50,uniform,1,1,469
3,50,uniform,1,1,286
4,50,uniform,1,1,269
1,100,uniform,1,1,6
2,100,uniform,1,1,396
3,100,uniform,1,1,221
4,100,uniform,1,1,463
1,300,uniform,1,1,574
2,300,uniform,1,1,217
3,300,uniform,1,1,570
4,300,uniform,1,1,529
1,50,normal,1,1,315
2,50,normal,1,1,348
3,50,normal,1,1,546
4,50,normal,1,1,515
1,100,normal,1,1,366
2,100,normal,1,1,176
3,100,normal,1,1,90
4,100,normal,1,1,419
1,300,normal,1,1,298
2,300,normal,1,1,139
3,300,normal,1,1,293
4,300,normal,1,1,327
1,50,lognormal,1,1,312
2,50,lognormal,1,1,372
3,50,lognormal,1,1,356
4,50,lognormal,1,1,181
1,100,lognormal,1,1,111
2,100,lognormal,1,1,464
3,100,lognormal,1,1,409
4,100,lognormal,1,1,153
1,300,lognormal,1,1,209
2,300,lognormal,1,1,82
3,300,lognormal,1,1,115
4,300,lognormal,1,1,308
1,50,even_discrete,1,1,9
2,50,even_discrete,1,1,282
3,50,even_discrete,1,1,2
4,50,even_discrete,1,1,222
1,100,even_discrete,1,1,456
2,100,even_discrete,1,1,284
3,100,even_discrete,1,1,517
4,100,even_discrete,1,1,559
1,300,even_discrete,1,1,558
2,300,even_discrete,1,1,168
3,300,even_discrete,1,1,160
4,300,even_discrete,1,1,10
1,50,uniform,2,1,106
2,50,uniform,2,1,495
3,50,uniform,2,1,412
4,50,uniform,2,1,283
1,100,uniform,2,1,245
2,100,uniform,2,1,371
3,100,uniform,2,1,78
4,100,uniform,2,1,242
1,300,uniform,2,1,85
2,300,uniform,2,1,14
3,300,uniform,2,1,195
4,300,uniform,2,1,453
1,50,normal,2,1,466
2,50,normal,2,1,367
3,50,normal,2,1,555
4,50,normal,2,1,346
1,100,normal,2,1,264
2,100,normal,2,1,451
3,100,normal,2,1,514
4,100,normal,2,1,272
1,300,normal,2,1,254
2,300,normal,2,1,25
3,300,normal,2,1,192
4,300,normal,2,1,569
1,50,lognormal,2,1,436
2,50,lognormal,2,1,417
3,50,lognormal,2,1,340
4,50,lognormal,2,1,496
1,100,lognormal,2,1,36
2,100,lognormal,2,1,444
3,100,lognormal,2,1,273
4,100,lognormal,2,1,47
1,300,lognormal,2,1,249
2,300,lognormal,2,1,411
3,300,lognormal,2,1,224
4,300,lognormal,2,1,190
1,50,even_discrete,2,1,26
2,50,even_discrete,2,1,405
3,50,even_discrete,2,1,281
4,50,even_discrete,2,1,91
1,100,even_discrete,2,1,480
2,100,even_discrete,2,1,193
3,100,even_discrete,2,1,250
4,100,even_discrete,2,1,490
1,300,even_discrete,2,1,174
2,300,even_discrete,2,1,538
3,300,even_discrete,2,1,448
4,300,even_discrete,2,1,440
1,50,uniform,4,1,247
2,50,uniform,4,1,186
3,50,uniform,4,1,518
4,50,uniform,4,1,198
1,100,uniform,4,1,230
2,100,uniform,4,1,525
3,100,uniform,4,1,301
4,100,uniform,4,1,132
1,300,uniform,4,1,159
2,300,uniform,4,1,509
3,300,uniform,4,1,309
4,300,uniform,4,1,154
1,50,normal,4,1,481
2,50,normal,4,1,207
3,50,normal,4,1,486
4,50,normal,4,1,122
1,100,normal,4,1,152
2,100,normal,4,1,572
3,100,normal,4,1,204
4,100,normal,4,1,279
1,300,normal,4,1,314
2,300,normal,4,1,93
3,300,normal,4,1,429
4,300,normal,4,1,349
1,50,lognormal,4,1,53
2,50,lognormal,4,1,438
3,50,lognormal,4,1,351
