a,b,c,x_dist,x_mu,x_sigma,z_discrete,z_discrete_dist,z_n,e_dist,e_df,e_sigma,n,model,statistics,pvalue,answer
-0.8338519334793091,1.9942728951573372,0.2649455249775201,neglognormal,0,0.6,TRUE,discrete_uniform,8,normal,NA,1,300,higher order,3.450973871391542,0.00893946483475012,FALSE
0.8224405534565449,0.5232632914558053,0.8309529104735702,lognormal,0,0.6,TRUE,discrete_uniform,5,normal,NA,0.25,100,higher order,2.191418550891791,0.07593249013814696,FALSE
0.22150446753948927,-0.38375122798606753,4.494762349640951,uniform,0,0.6,FALSE,discrete_uniform,10,normal,NA,1,100,higher order,743.4712897072126,1.1658128288117387e-69,TRUE
1.2514403834939003,2.166351090185344,0.41746190283447504,uniform,0,0.6,FALSE,discrete_uniform,4,normal,NA,1,50,higher order,2.919442859404969,0.03192970750968717,FALSE
2.7337003787979484,1.6740288245491683,3.1048249430023134,normal,0,0.3,TRUE,discrete_uniform,4,normal,NA,1,50,higher order,1240.5607984082174,8.521831675233737e-44,TRUE
-0.8922317256219685,-2.7922936342656612,0.5363132106140256,lognormal,0,0.6,FALSE,discrete_uniform,3,normal,NA,1,300,higher order,1.3607604611606785,0.2476235451939786,FALSE
-2.4044451098889112,1.7808750020340085,1.8540764530189335,neglognormal,0,0.6,FALSE,discrete_uniform,8,normal,NA,0.25,50,higher order,2257.698053007041,2.384094078059874e-49,TRUE
-2.2350599141791463,0.6418812302872539,1.7866851412691176,lognormal,0,0.6,FALSE,discrete_uniform,5,normal,NA,0.25,100,higher order,1306.0496134860643,9.10745009136033e-81,TRUE
-1.2866369127295911,-1.6338954200036824,0.0674515264108777,neglognormal,0,0.6,TRUE,discrete_uniform,3,normal,NA,1,100,higher order,3.3752405438584354,0.021618658738648155,FALSE
0.2551685138605535,-2.9355214750394225,4.0229047276079655,uniform,0,0.6,FALSE,discrete_uniform,7,normal,NA,0.5,100,higher order,86990.60685183604,3.344922211178985e-165,TRUE
0.3037422336637974,-1.2927452023141086,0.37716954946517944,uniform,0,0.6,FALSE,discrete_uniform,5,normal,NA,0.25,300,higher order,71.27086409976272,4.258741423810181e-42,FALSE
-0.9247831595130265,1.4321217192336917,0.3832804143894464,uniform,0,0.6,FALSE,discrete_uniform,5,normal,NA,1,50,higher order,2.6281052119980375,0.04739919098834235,FALSE
-1.6446252507157624,-0.3211041195318103,4.689688452053815,lognormal,0,0.6,TRUE,discrete_uniform,6,normal,NA,0.25,100,higher order,180.25356019226592,6.535098644530392e-43,TRUE
2.3293134961277246,0.9839817434549332,0.982927578734234,uniform,0,0.6,TRUE,discrete_uniform,3,normal,NA,2,50,higher order,2.565515307358381,0.0666241588528178,FALSE
-2.3759570941329002,-2.635459180455655,1.3024825637694448,normal,0,0.3,TRUE,discrete_uniform,6,normal,NA,0.25,300,higher order,473.7951029388577,1.5161523668131547e-126,TRUE
-1.3773831445723772,0.3938477053306997,0.33280210569500923,normal,0,0.3,FALSE,discrete_uniform,3,normal,NA,1,50,higher order,2.9009193390799783,0.03273942137883699,TRUE
-1.851773478090763,1.4880457939580083,4.973731810459867,neglognormal,0,0.6,FALSE,discrete_uniform,6,normal,NA,0.25,100,higher order,409681.2866473218,1.7196737143872819e-196,TRUE
0.7126562423072755,-0.3499129833653569,4.571796528762206,neglognormal,0,0.6,FALSE,discrete_uniform,3,normal,NA,1,50,higher order,671.0058716143502,3.9614117408920147e-38,TRUE
2.1675134813413024,1.6476537273265421,4.958221389679238,uniform,0,0.6,TRUE,discrete_uniform,6,normal,NA,2,50,higher order,5801.542877902967,3.919451049334223e-58,TRUE
0.3162562404759228,2.110656648874283,0.9755554422736168,neglognormal,0,0.6,FALSE,discrete_uniform,7,normal,NA,0.25,100,higher order,43.83726139191966,1.2491766031732958e-20,TRUE
0.16632645763456821,-2.746351341716945,4.0669859072659165,neglognormal,0,0.6,TRUE,discrete_uniform,3,normal,NA,1,300,higher order,380.8073889374884,6.523152909715501e-101,TRUE
-1.456889649387449,1.8133901073597372,3.015009214868769,normal,0,0.3,TRUE,discrete_uniform,9,normal,NA,0.25,300,higher order,59006.39757570585,0,TRUE
2.6067713163793087,-1.936211952008307,0.12021516682580113,lognormal,0,0.6,FALSE,discrete_uniform,10,normal,NA,2,300,higher order,1.3033359419948385,0.2688281370038438,FALSE
-2.941554965917021,-1.0967396912164986,4.264156029094011,uniform,0,0.6,TRUE,discrete_uniform,5,normal,NA,0.25,300,higher order,29986.61074112,0,TRUE
2.444984521251172,-2.126515564508736,3.7087499327026308,normal,0,0.3,TRUE,discrete_uniform,3,normal,NA,1,300,higher order,78.9885132437255,1.6832314738095664e-37,TRUE
1.9798224898986518,0.17521091317757964,2.805724557256326,lognormal,0,0.6,FALSE,discrete_uniform,10,normal,NA,2,100,higher order,133.8937270022315,1.0461555568344158e-37,TRUE
-0.03922541253268719,-2.0871484237723053,2.5577032391447574,normal,0,0.3,TRUE,discrete_uniform,4,normal,NA,1,300,higher order,297.69510332660167,7.31868354921261e-102,TRUE
2.1971810907125473,-0.09930577268823981,4.463069585617632,normal,0,0.3,TRUE,discrete_uniform,4,normal,NA,1,50,higher order,108.56938619935885,6.90368768434966e-22,TRUE
-1.8796531506814063,0.5802317038178444,3.843107926659286,neglognormal,0,0.6,FALSE,discrete_uniform,9,normal,NA,1,300,higher order,8137.326332726248,8.007658839127335e-299,TRUE
1.0745064890943468,0.056591490749269724,2.55584264989011,uniform,0,0.6,TRUE,discrete_uniform,7,normal,NA,0.5,100,higher order,50.53517786345367,1.5653359663793928e-22,TRUE
0.6576809627003968,1.3056714395061135,1.7499511467758566,neglognormal,0,0.6,FALSE,discrete_uniform,7,normal,NA,0.25,50,higher order,362.49700282892456,1.6497705538837642e-32,TRUE
