a,b,c,x_dist,x_mu,x_sigma,z_discrete,z_discrete_dist,z_n,e_dist,e_df,e_sigma,n,model,statistics,pvalue,answer
-2.0501927663572133,2.5075019197538495,3.4803051908966154,uniform,0,0.6,TRUE,discrete_uniform,5,normal,NA,0.25,100,higher order,90558.76295254924,5.161791896898906e-166,TRUE
0.4738515615463257,-0.880582679528743,3.1771409732755274,normal,0,0.3,TRUE,discrete_uniform,9,normal,NA,0.25,100,higher order,1178.8625099563587,9.763634607915276e-79,TRUE
-2.2054298375733197,-2.448605774436146,3.323092581704259,uniform,0,0.6,FALSE,discrete_uniform,10,normal,NA,2,50,higher order,583.7180527631481,7.518500756505608e-37,TRUE
-1.1651042411103845,-0.9362701862119138,2.7877133328001946,normal,0,0.3,FALSE,discrete_uniform,4,normal,NA,2,300,higher order,258.7387026947956,8.149224949879131e-95,TRUE
1.2868802701123059,-0.5945907547138631,0.37622610689140856,lognormal,0,0.6,FALSE,discrete_uniform,7,normal,NA,0.25,50,higher order,4.148107849553624,0.006269159629914148,TRUE
2.5920007727108896,-0.8566675102338195,1.0262175789102912,uniform,0,0.6,TRUE,discrete_uniform,8,normal,NA,0.25,50,higher order,110.06446249669072,5.288310237267807e-22,FALSE
2.6446206606924534,1.953300756867975,0.851900497218594,uniform,0,0.6,FALSE,discrete_uniform,6,normal,NA,0.5,50,higher order,39.20310629852713,8.098220466806976e-14,TRUE
1.8779325066134334,-2.166623577475548,3.5047396132722497,neglognormal,0,0.6,FALSE,discrete_uniform,5,normal,NA,0.25,50,higher order,27938.712275598056,8.516782031907688e-73,TRUE
2.707144676707685,1.9623535322025418,4.424667210550979,normal,0,0.3,FALSE,discrete_uniform,8,normal,NA,0.5,100,higher order,84362.34485161335,1.3924104204133263e-164,TRUE
-1.2052933447994292,-1.806876489892602,1.9078014453407377,neglognormal,0,0.6,TRUE,discrete_uniform,9,normal,NA,2,100,higher order,32.17285920424132,8.020183380231744e-17,FALSE
-1.4353859815746546,0.11974606616422534,3.730852205771953,neglognormal,0,0.6,TRUE,discrete_uniform,4,normal,NA,0.5,100,higher order,1394.6376900494295,4.539289630959945e-82,TRUE
-0.5197704322636127,2.5210795872844756,0.3586754319258034,normal,0,0.3,FALSE,discrete_uniform,3,normal,NA,0.25,100,higher order,3.949705599338636,0.005258527437075763,FALSE
-2.7099927398376167,-0.6399628682993352,4.775607424089685,normal,0,0.3,TRUE,discrete_uniform,5,normal,NA,0.25,100,higher order,86723.26636438139,3.8594654091348323e-165,TRUE
-2.0677518197335303,0.08108453219756484,2.0225501875393093,normal,0,0.3,TRUE,discrete_uniform,5,normal,NA,0.25,50,higher order,150.6510726811812,1.0688518217026872e-24,TRUE
-2.089579040184617,-1.624737428035587,3.6979939171578735,lognormal,0,0.6,FALSE,discrete_uniform,9,normal,NA,1,300,higher order,17204.2514016874,0,TRUE
-2.0670894188806415,2.6312516117468476,3.699131082976237,neglognormal,0,0.6,TRUE,discrete_uniform,6,normal,NA,2,50,higher order,518.0262564623238,9.302460982502416e-36,TRUE
0.6333366916514933,2.64370298339054,2.291128336219117,normal,0,0.3,TRUE,discrete_uniform,6,normal,NA,1,50,higher order,52.86757539346029,4.72145710100369e-16,TRUE
-1.0094613586552441,-1.946385010611266,3.933850204339251,lognormal,0,0.6,TRUE,discrete_uniform,4,normal,NA,0.5,50,higher order,6718.477153259218,1.680929433961739e-59,TRUE
-1.2477771188132465,0.633571167010814,3.2743773283436894,neglognormal,0,0.6,FALSE,discrete_uniform,4,normal,NA,0.5,50,higher order,2730.823779619237,4.0628945456332374e-51,TRUE
-2.0331451962701976,0.45632994873449206,0.7068174262531102,lognormal,0,0.6,TRUE,discrete_uniform,6,normal,NA,0.25,50,higher order,35.46761654681549,4.216362946080468e-13,TRUE
2.4722440280020237,-0.21441172482445836,0.0591707625426352,lognormal,0,0.6,TRUE,discrete_uniform,4,normal,NA,2,50,higher order,1.0351974344533583,0.4001445489753674,FALSE
-2.276864033192396,-2.691102175042033,2.6860613585449755,normal,0,0.3,TRUE,discrete_uniform,8,normal,NA,1,300,higher order,4146.114789577243,1.8065897335095608e-256,TRUE
-2.064222148619592,1.7591687240637839,4.931809359695762,normal,0,0.3,FALSE,discrete_uniform,5,normal,NA,1,300,higher order,77308.60886018183,0,TRUE
