type,formula,a,b,c,x_dist,z_discrete,e_dist,e_sigma,x_mu,x_n,x_sigma,z_discrete_dist,z_n,e_df,name,k,n,effect_size,answer,conventional_p_value,ori_difficulty,exp,exp_lineup_id,log_effect_size
cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",0.10971164423972368,-0.47013723850250244,0.39328029518947005,uniform,FALSE,normal,1,0,NA,0.6,discrete_uniform,6,NA,high_hard_191,20,100,0.5990099612672342,11,0.04731729762656294,hard,1,1_285,-0.5124770511765241
heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",1,0.4657287448644638,NA,normal,FALSE,NA,NA,0,14,0.3,NA,NA,NA,heter_hard_110,20,300,8.066658486505343,11,0.30530818107467805,hard,1,1_492,2.0877393304244314
cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",0.32587476214393973,-2.1988326902501285,0.6422758102416992,uniform,TRUE,normal,2,0,NA,0.6,discrete_uniform,6,NA,high_hard_180,20,100,0.8313475491628868,12,1.7757840027219255e-6,hard,1,1_274,-0.18470734152091947
heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",0,0.6033903360366821,NA,lognormal,FALSE,NA,NA,0,19,0.6,NA,NA,NA,heter_hard_52,20,100,6.033903360366821,5,0.4661012612119466,hard,1,1_434,1.7973941247595624
heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",0,11.74730870127678,NA,normal,FALSE,NA,NA,0,10,0.3,NA,NA,NA,heter_medium_39,20,50,83.06601643364546,1,0.05125730825319882,medium,1,1_361,4.419635670369191
heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",0,1.1910866051912308,NA,uniform,FALSE,NA,NA,0,12,0.6,NA,NA,NA,heter_hard_41,20,100,11.910866051912308,2,0.15360038365023226,hard,1,1_423,2.477451097088935
cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",0.21125176129862666,0.3598272353410721,1.3203996666707098,uniform,FALSE,normal,2,0,NA,0.6,discrete_uniform,7,NA,high_hard_14,20,50,0.030123443219209026,10,0.059150149693984425,hard,1,1_108,-3.502451565877294
cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",-0.3805195977911353,-2.5650596511550248,0.4784714886918664,uniform,FALSE,normal,2,0,NA,0.6,discrete_uniform,7,NA,high_medium_37,20,300,2.540341552642807,3,1.3529558059315293e-21,medium,1,1_71,0.9322985415346385
cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",-2.780319138430059,-0.8222212451510131,0.7928391275927424,lognormal,TRUE,normal,0.25,0,NA,0.6,discrete_uniform,5,NA,high_easy_34,20,100,260.38110259286344,17,1.3411841069805129e-52,easy,1,1_34,5.562146337013106
cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",1.0317411054857075,-2.523309904150665,1.5956934532150626,normal,TRUE,normal,2,0,NA,0.3,discrete_uniform,6,NA,high_hard_32,20,100,0.20236095592042427,4,0.016410984413017308,hard,1,1_126,-1.5977022657089923
cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",-1.3592932219617069,1.187498972285539,0.6530676195397973,neglognormal,FALSE,normal,2,0,NA,0.6,discrete_uniform,8,NA,high_hard_142,20,300,0.03375318972957435,10,0.6954200194842672,hard,1,1_236,-3.388680355623528
cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",0.12265149783343077,-1.6864048861898482,1.8891631187871099,lognormal,FALSE,normal,2,0,NA,0.6,discrete_uniform,4,NA,high_medium_34,20,300,4.596853592858352,20,3.7275314503373396e-33,medium,1,1_68,1.5253720679067286
heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",-1,31.814720958471298,NA,neglognormal,FALSE,NA,NA,0,10,0.6,NA,NA,NA,heter_easy_7,20,50,224.96404931292832,8,0.30308855731451984,easy,1,1_295,5.4159406086066735
heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",0,0.22601332515478134,NA,normal,FALSE,NA,NA,0,19,0.3,NA,NA,NA,heter_hard_189,20,50,1.59815554855466,12,0.03294908877484695,hard,1,1_571,0.4688501821279629
heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",0,31.025512721389532,NA,uniform,FALSE,NA,NA,0,20,0.6,NA,NA,NA,heter_extremely_easy_1,20,300,537.3776436432122,2,1.9413670036201554e-14,extremely_easy,1,1_582,6.286701094354402
cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",-1.6417699232697487,-0.4536565225571394,0.3632556344382465,uniform,FALSE,normal,0.25,0,NA,0.6,discrete_uniform,8,NA,high_extremely_easy_4,20,300,73.64650103657125,5,4.6349019688122777e-213,extremely_easy,1,1_580,4.299276633790571
