page,response_time,set,num,selection,num_selection,reason,confidence,prolific_id,age_group,education,pronoun,previous_experience,lineup_id,type,formula,a,b,c,x_dist,z_discrete,e_dist,e_sigma,x_mu,x_n,x_sigma,z_discrete_dist,z_n,e_df,name,k,n,effect_size,answer,detect,conventional_p_value,ori_difficulty,exp,exp_lineup_id
5,39541.60000002384,1,1,4_5_16,3,Outlier(s),Very,600c8b38c81ec4300e58c883,25-39,Diploma and Bachelor Degree,He,No,285,cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",0.10971164423972368,-0.47013723850250244,0.39328029518947005,uniform,FALSE,normal,1,0,NA,0.6,discrete_uniform,6,NA,high_hard_191,20,100,0.5990099612672342,11,FALSE,0.04731729762656294,hard,1,1_285
6,30768.5,1,2,0,0,NA,NA,600c8b38c81ec4300e58c883,25-39,Diploma and Bachelor Degree,He,No,492,heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",1,0.4657287448644638,NA,normal,FALSE,NA,NA,0,14,0.3,NA,NA,NA,heter_hard_110,20,300,8.066658486505343,11,FALSE,0.30530818107467805,hard,1,1_492
7,38607.699999928474,1,3,9,1,Outlier(s),Very,600c8b38c81ec4300e58c883,25-39,Diploma and Bachelor Degree,He,No,274,cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",0.32587476214393973,-2.1988326902501285,0.6422758102416992,uniform,TRUE,normal,2,0,NA,0.6,discrete_uniform,6,NA,high_hard_180,20,100,0.8313475491628868,12,FALSE,1.7757840027219255e-6,hard,1,1_274
8,64278.800000071526,1,4,4_19,2,Outlier(s),Slightly,600c8b38c81ec4300e58c883,25-39,Diploma and Bachelor Degree,He,No,434,heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",0,0.6033903360366821,NA,lognormal,FALSE,NA,NA,0,19,0.6,NA,NA,NA,heter_hard_52,20,100,6.033903360366821,5,FALSE,0.4661012612119466,hard,1,1_434
9,24934.299999952316,1,5,1,1,Cluster(s),Moderately,600c8b38c81ec4300e58c883,25-39,Diploma and Bachelor Degree,He,No,361,heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",0,11.74730870127678,NA,normal,FALSE,NA,NA,0,10,0.3,NA,NA,NA,heter_medium_39,20,50,83.06601643364546,1,TRUE,0.05125730825319882,medium,1,1_361
10,19836.300000071526,1,6,10,1,Outlier(s),Very,600c8b38c81ec4300e58c883,25-39,Diploma and Bachelor Degree,He,No,423,heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",0,1.1910866051912308,NA,uniform,FALSE,NA,NA,0,12,0.6,NA,NA,NA,heter_hard_41,20,100,11.910866051912308,2,FALSE,0.15360038365023226,hard,1,1_423
11,34046.40000009537,1,7,14_17,2,Outlier(s),Moderately,600c8b38c81ec4300e58c883,25-39,Diploma and Bachelor Degree,He,No,108,cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",0.21125176129862666,0.3598272353410721,1.3203996666707098,uniform,FALSE,normal,2,0,NA,0.6,discrete_uniform,7,NA,high_hard_14,20,50,0.030123443219209026,10,FALSE,0.059150149693984425,hard,1,1_108
12,19908.900000095367,1,8,1,1,Outlier(s),Slightly,600c8b38c81ec4300e58c883,25-39,Diploma and Bachelor Degree,He,No,71,cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",-0.3805195977911353,-2.5650596511550248,0.4784714886918664,uniform,FALSE,normal,2,0,NA,0.6,discrete_uniform,7,NA,high_medium_37,20,300,2.540341552642807,3,FALSE,1.3529558059315293e-21,medium,1,1_71
13,7837.200000047684,1,9,17,1,Shape,Extremely,600c8b38c81ec4300e58c883,25-39,Diploma and Bachelor Degree,He,No,34,cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",-2.780319138430059,-0.8222212451510131,0.7928391275927424,lognormal,TRUE,normal,0.25,0,NA,0.6,discrete_uniform,5,NA,high_easy_34,20,100,260.38110259286344,17,TRUE,1.3411841069805129e-52,easy,1,1_34
14,31049.699999928474,1,10,20_19,2,Outlier(s),Slightly,600c8b38c81ec4300e58c883,25-39,Diploma and Bachelor Degree,He,No,126,cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",1.0317411054857075,-2.523309904150665,1.5956934532150626,normal,TRUE,normal,2,0,NA,0.3,discrete_uniform,6,NA,high_hard_32,20,100,0.20236095592042427,4,FALSE,0.016410984413017308,hard,1,1_126
15,24059.800000071526,1,11,14,1,Outlier(s),Moderately,600c8b38c81ec4300e58c883,25-39,Diploma and Bachelor Degree,He,No,236,cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",-1.3592932219617069,1.187498972285539,0.6530676195397973,neglognormal,FALSE,normal,2,0,NA,0.6,discrete_uniform,8,NA,high_hard_142,20,300,0.03375318972957435,10,FALSE,0.6954200194842672,hard,1,1_236
